"GSE24739_G1.GENE.SET","GSE24739_G1.MEAN.ABS.T0","GSE24739_G1.PADOG0","GSE24739_G1.P.MEAN.ABS.T","GSE24739_G1.PVAL"
"hsa04940_Type_I_diabetes_mellitus",3.63,2.28,0.115,0.0709
"hsa05169_Epstein-Barr_virus_infection",2.74,-0.0208,0.164,0.0729
"hsa04613_Neutrophil_extracellular_trap_formation",3.51,1.57,0.107,0.0729
"hsa05332_Graft-versus-host_disease",3.36,2.12,0.144,0.0749
"hsa04012_ErbB_signaling_pathway",1.75,-1.42,0.132,0.0769
"hsa04612_Antigen_processing_and_presentation",3.15,2.47,0.136,0.0891
"hsa04514_Cell_adhesion_molecules",2.56,2.15,0.123,0.0891
"hsa04722_Neurotrophin_signaling_pathway",1.64,-1.54,0.192,0.0911
"hsa05219_Bladder_cancer",1.9,0.0316,0.19,0.0911
"hsa04668_TNF_signaling_pathway",3.15,0.336,0.162,0.0911
"hsa04666_Fc_gamma_R-mediated_phagocytosis",2.5,0.706,0.166,0.0931
"hsa04010_MAPK_signaling_pathway",2.36,-0.0254,0.168,0.0972
"hsa05215_Prostate_cancer",2.06,-1.46,0.109,0.0972
"hsa00533_Glycosaminoglycan_biosynthesis",1.67,1.71,0.142,0.0992
"hsa04935_Growth_hormone_synthesis,_secretion_and_action",1.52,-2.59,0.211,0.103
"hsa04066_HIF-1_signaling_pathway",1.46,-0.54,0.209,0.107
"hsa04211_Longevity_regulating_pathway",1.91,-0.733,0.204,0.107
"hsa05206_MicroRNAs_in_cancer",2.32,0.163,0.156,0.109
"hsa05310_Asthma",2.83,2.05,0.206,0.111
"hsa05202_Transcriptional_misregulation_in_cancer",2.49,2.15,0.176,0.111
"hsa01521_EGFR_tyrosine_kinase_inhibitor_resistance",1.61,-1.59,0.154,0.115
"hsa01212_Fatty_acid_metabolism",1.92,1.9,0.221,0.117
"hsa05203_Viral_carcinogenesis",2.61,0.704,0.192,0.119
"hsa05100_Bacterial_invasion_of_epithelial_cells",1.87,0.731,0.17,0.121
"hsa00130_Ubiquinone_and_other_terpenoid-quinone_biosynthesis",1.34,1.41,0.225,0.132
"hsa04144_Endocytosis",2.27,2.1,0.196,0.132
"hsa04218_Cellular_senescence",2.15,-0.671,0.194,0.134
"hsa04370_VEGF_signaling_pathway",1.92,-1.29,0.194,0.136
"hsa05213_Endometrial_cancer",1.81,-1.36,0.178,0.136
"hsa00380_Tryptophan_metabolism",1.39,1.26,0.255,0.14
"hsa05145_Toxoplasmosis",2.06,-0.236,0.253,0.142
"hsa04979_Cholesterol_metabolism",1.11,1.17,0.194,0.142
"hsa05320_Autoimmune_thyroid_disease",2.04,0.995,0.209,0.146
"hsa00230_Purine_metabolism",1.28,0.956,0.267,0.152
"hsa05170_Human_immunodeficiency_virus_1_infection",1.55,-1.79,0.3,0.164
"hsa05210_Colorectal_cancer",1.76,-1.51,0.277,0.164
"hsa05321_Inflammatory_bowel_disease",1.96,0.693,0.251,0.164
"hsa00100_Steroid_biosynthesis",1.87,2.02,0.247,0.164
"hsa03450_Non-homologous_end-joining",1.4,1.5,0.275,0.168
"hsa04015_Rap1_signaling_pathway",1.5,-1.28,0.247,0.172
"hsa00900_Terpenoid_backbone_biosynthesis",1.56,1.67,0.231,0.172
"hsa04650_Natural_killer_cell_mediated_cytotoxicity",1.82,-0.652,0.196,0.172
"hsa05160_Hepatitis_C",1.52,-1.36,0.253,0.174
"hsa04136_Autophagy",1.45,1.21,0.241,0.174
"hsa04630_JAK-STAT_signaling_pathway",1.94,0.109,0.206,0.174
"hsa04115_p53_signaling_pathway",1.71,1.1,0.31,0.176
"hsa04625_C-type_lectin_receptor_signaling_pathway",1.62,-1.67,0.253,0.182
"hsa01040_Biosynthesis_of_unsaturated_fatty_acids",1.6,1.66,0.251,0.182
"hsa05223_Non-small_cell_lung_cancer",1.5,-1.56,0.253,0.186
"hsa00970_Aminoacyl-tRNA_biosynthesis",2.12,2.33,0.257,0.192
"hsa05417_Lipid_and_atherosclerosis",1.32,-1.89,0.285,0.194
"hsa04620_Toll-like_receptor_signaling_pathway",1.68,-1.12,0.267,0.194
"hsa05140_Leishmaniasis",1.65,-0.37,0.277,0.196
"hsa05164_Influenza_A",1.88,-0.684,0.281,0.204
"hsa00532_Glycosaminoglycan_biosynthesis",1.62,1.76,0.263,0.204
"hsa04142_Lysosome",1.76,1.92,0.255,0.204
"hsa05412_Arrhythmogenic_right_ventricular_cardiomyopathy",0.918,0.558,0.275,0.206
"hsa04392_Hippo_signaling_pathway",0.979,1.09,0.233,0.209
"hsa05225_Hepatocellular_carcinoma",1.49,-1.15,0.229,0.211
"hsa04670_Leukocyte_transendothelial_migration",1.37,-0.313,0.221,0.211
"hsa05132_Salmonella_infection",1.91,-0.0366,0.326,0.213
"hsa05418_Fluid_shear_stress_and_atherosclerosis",1.52,-0.934,0.265,0.215
"hsa04920_Adipocytokine_signaling_pathway",1.11,-0.302,0.289,0.219
"hsa04145_Phagosome",1.86,1.1,0.294,0.225
"hsa04137_Mitophagy",1.22,0.325,0.322,0.227
"hsa04917_Prolactin_signaling_pathway",1.71,-1.56,0.209,0.227
"hsa00030_Pentose_phosphate_pathway",1.18,1.14,0.338,0.231
"hsa04750_Inflammatory_mediator_regulation_of_TRP_channels",0.963,-2.26,0.271,0.245
"hsa05222_Small_cell_lung_cancer",1.45,-0.825,0.261,0.257
"hsa04672_Intestinal_immune_network_for_IgA_production",1.3,0.662,0.338,0.269
"hsa01522_Endocrine_resistance",1.42,-2.57,0.209,0.271
"hsa00061_Fatty_acid_biosynthesis",0.828,0.811,0.334,0.277
"hsa05017_Spinocerebellar_ataxia",1.12,-0.533,0.316,0.283
"hsa04919_Thyroid_hormone_signaling_pathway",0.97,-1.46,0.287,0.285
"hsa05034_Alcoholism",0.946,-0.506,0.399,0.289
"hsa00340_Histidine_metabolism",0.979,0.927,0.346,0.289
"hsa03013_RNA_transport",1.6,1.83,0.381,0.294
"hsa04130_SNARE_interactions_in_vesicular_transport",1.26,1.41,0.354,0.294
"hsa04520_Adherens_junction",0.698,0.00497,0.415,0.298
"hsa00280_Valine,_leucine_and_isoleucine_degradation",1.43,1.35,0.34,0.3
"hsa04912_GnRH_signaling_pathway",0.598,-2.86,0.415,0.31
"hsa05322_Systemic_lupus_erythematosus",1.3,0.914,0.34,0.31
"hsa04122_Sulfur_relay_system",0.879,0.944,0.368,0.322
"hsa00072_Synthesis_and_degradation_of_ketone_bodies",0.556,0.544,0.364,0.328
"hsa04933_AGE-RAGE_signaling_pathway_in_diabetic_complications",1.1,-2.07,0.35,0.328
"hsa04720_Long-term_potentiation",0.0557,-2.62,0.478,0.338
"hsa00062_Fatty_acid_elongation",0.989,1.04,0.387,0.346
"hsa02010_ABC_transporters",0.383,0.506,0.352,0.346
"hsa04062_Chemokine_signaling_pathway",1.12,-1.9,0.356,0.348
"hsa04213_Longevity_regulating_pathway",1.18,-1.43,0.322,0.348
"hsa00240_Pyrimidine_metabolism",0.875,0.995,0.445,0.354
"hsa00564_Glycerophospholipid_metabolism",1.01,1.03,0.415,0.358
"hsa03015_mRNA_surveillance_pathway",1.1,1.19,0.427,0.36
"hsa00051_Fructose_and_mannose_metabolism",0.887,0.849,0.403,0.364
"hsa00512_Mucin_type_O-glycan_biosynthesis",0.591,0.723,0.374,0.364
"hsa00770_Pantothenate_and_CoA_biosynthesis",0.898,0.902,0.407,0.366
"hsa04071_Sphingolipid_signaling_pathway",1.17,-1.68,0.379,0.366
"hsa04022_cGMP-PKG_signaling_pathway",0.0463,-2.1,0.457,0.37
"hsa00534_Glycosaminoglycan_biosynthesis",0.613,0.747,0.364,0.37
"hsa00603_Glycosphingolipid_biosynthesis",0.53,0.574,0.397,0.374
"hsa00640_Propanoate_metabolism",0.84,0.796,0.419,0.379
"hsa04971_Gastric_acid_secretion",-0.238,-2.3,0.532,0.393
"hsa00220_Arginine_biosynthesis",0.399,0.353,0.421,0.393
"hsa04931_Insulin_resistance",1.11,-0.871,0.407,0.393
"hsa04261_Adrenergic_signaling_in_cardiomyocytes",-0.0598,-2.2,0.504,0.397
"hsa05144_Malaria",0.77,0.107,0.466,0.413
"hsa04923_Regulation_of_lipolysis_in_adipocytes",0.753,-1.5,0.415,0.415
"hsa05152_Tuberculosis",0.477,-1.77,0.496,0.421
"hsa04614_Renin-angiotensin_system",0.497,0.553,0.441,0.423
"hsa00561_Glycerolipid_metabolism",0.728,0.742,0.439,0.425
"hsa04146_Peroxisome",0.763,0.868,0.46,0.431
"hsa00514_Other_types_of_O-glycan_biosynthesis",0.496,0.621,0.447,0.433
"hsa04914_Progesterone-mediated_oocyte_maturation",1.14,-1.61,0.391,0.435
"hsa00565_Ether_lipid_metabolism",0.618,0.531,0.453,0.443
"hsa05142_Chagas_disease",0.907,-2.38,0.407,0.451
"hsa00410_beta-Alanine_metabolism",0.677,0.569,0.492,0.455
"hsa04929_GnRH_secretion",0.727,-1.93,0.287,0.46
"hsa04512_ECM-receptor_interaction",0.157,0.0215,0.466,0.466
"hsa05218_Melanoma",0.88,-1.71,0.421,0.466
"hsa04622_RIG-I-like_receptor_signaling_pathway",0.679,-1.02,0.421,0.468
"hsa00601_Glycosphingolipid_biosynthesis",0.0747,0.156,0.421,0.47
"hsa04120_Ubiquitin_mediated_proteolysis",0.644,0.745,0.538,0.472
"hsa00590_Arachidonic_acid_metabolism",0.442,0.372,0.506,0.472
"hsa05143_African_trypanosomiasis",0.293,-1.13,0.443,0.48
"hsa05205_Proteoglycans_in_cancer",0.622,-2.22,0.443,0.486
"hsa04150_mTOR_signaling_pathway",0.947,-1.29,0.383,0.486
"hsa04730_Long-term_depression",0.4,-1.9,0.455,0.49
"hsa03010_Ribosome",-0.146,0.0978,0.482,0.492
"hsa04913_Ovarian_steroidogenesis",0.148,-1.08,0.51,0.502
"hsa05171_Coronavirus_disease",-0.251,-2.06,0.464,0.508
"hsa04270_Vascular_smooth_muscle_contraction",-0.25,-2.19,0.585,0.51
"hsa04928_Parathyroid_hormone_synthesis,_secretion_and_action",0.109,-2.1,0.603,0.514
"hsa04972_Pancreatic_secretion",0.0159,-1.38,0.53,0.516
"hsa05130_Pathogenic_Escherichia_coli_infection",0.537,-0.96,0.593,0.534
"hsa04310_Wnt_signaling_pathway",-0.0436,-1.26,0.577,0.536
"hsa04930_Type_II_diabetes_mellitus",0.401,-1.51,0.401,0.538
"hsa04977_Vitamin_digestion_and_absorption",-0.15,-0.073,0.482,0.54
"hsa05165_Human_papillomavirus_infection",0.402,-2.02,0.52,0.543
"hsa04610_Complement_and_coagulation_cascades",-0.242,-0.137,0.522,0.545
"hsa00071_Fatty_acid_degradation",0.319,0.166,0.528,0.549
"hsa00592_alpha-Linolenic_acid_metabolism",0.18,-0.0268,0.549,0.551
"hsa00120_Primary_bile_acid_biosynthesis",0.354,0.422,0.528,0.553
"hsa05162_Measles",0.512,-1.93,0.555,0.559
"hsa00750_Vitamin_B6_metabolism",0.365,0.379,0.571,0.565
"hsa00310_Lysine_degradation",0.391,0.432,0.54,0.569
"hsa05207_Chemical_carcinogenesis",0.266,-2.56,0.504,0.573
"hsa00515_Mannose_type_O-glycan_biosynthesis",-0.0408,0.03,0.543,0.581
"hsa05135_Yersinia_infection",0.621,-2.06,0.532,0.583
"hsa00250_Alanine,_aspartate_and_glutamate_metabolism",0.215,0.246,0.591,0.591
"hsa05120_Epithelial_cell_signaling_in_Helicobacter_pylori_infection",0.38,-1.26,0.545,0.593
"hsa01200_Carbon_metabolism",-0.00715,-0.0699,0.573,0.599
"hsa04114_Oocyte_meiosis",-0.113,-1.78,0.638,0.601
"hsa00600_Sphingolipid_metabolism",0.295,0.418,0.626,0.607
"hsa04924_Renin_secretion",-0.315,-2.01,0.664,0.617
"hsa04540_Gap_junction",0.117,-2.5,0.613,0.623
"hsa05415_Diabetic_cardiomyopathy",-0.461,-2.49,0.553,0.626
"hsa04215_Apoptosis",0.0871,-0.723,0.692,0.632
"hsa01230_Biosynthesis_of_amino_acids",0.219,0.192,0.591,0.634
"hsa01523_Antifolate_resistance",0.318,-0.665,0.551,0.636
"hsa00730_Thiamine_metabolism",-0.115,-0.0597,0.609,0.638
"hsa04550_Signaling_pathways_regulating_pluripotency_of_stem_cells",0.366,-1.59,0.455,0.64
"hsa04727_GABAergic_synapse",-0.804,-1.95,0.605,0.65
"hsa05032_Morphine_addiction",-0.831,-1.97,0.593,0.652
"hsa04932_Non-alcoholic_fatty_liver_disease",-0.356,-2.52,0.593,0.652
"hsa00330_Arginine_and_proline_metabolism",0.129,0.117,0.621,0.656
"hsa04350_TGF-beta_signaling_pathway",-0.0675,-0.502,0.68,0.662
"hsa04910_Insulin_signaling_pathway",0.143,-2.26,0.579,0.666
"hsa05134_Legionellosis",0.043,-0.773,0.692,0.668
"hsa04974_Protein_digestion_and_absorption",-0.795,-0.743,0.613,0.668
"hsa05022_Pathways_of_neurodegeneration",-1.12,-3.07,0.65,0.672
"hsa03410_Base_excision_repair",-0.0429,0.0754,0.617,0.672
"hsa00471_D-Glutamine_and_D-glutamate_metabolism",-0.0944,-0.111,0.646,0.674
"hsa04728_Dopaminergic_synapse",-0.727,-3.09,0.638,0.676
"hsa05231_Choline_metabolism_in_cancer",0.654,-1.88,0.553,0.676
"hsa00010_Glycolysis_/_Gluconeogenesis",-0.00822,-0.151,0.658,0.684
"hsa05150_Staphylococcus_aureus_infection",-0.315,-0.719,0.615,0.694
"hsa04510_Focal_adhesion",-0.0192,-2.23,0.561,0.696
"hsa04141_Protein_processing_in_endoplasmic_reticulum",0.225,0.0875,0.709,0.698
"hsa05014_Amyotrophic_lateral_sclerosis",-1.14,-2.01,0.64,0.698
"hsa04340_Hedgehog_signaling_pathway",-0.238,-0.601,0.684,0.7
"hsa04216_Ferroptosis",-0.015,-0.0566,0.715,0.704
"hsa00052_Galactose_metabolism",-0.046,-0.138,0.66,0.711
"hsa00260_Glycine,_serine_and_threonine_metabolism",-0.152,-0.127,0.654,0.711
"hsa04260_Cardiac_muscle_contraction",-0.851,-1.15,0.666,0.715
"hsa04714_Thermogenesis",-1.18,-2.71,0.63,0.715
"hsa01240_Biosynthesis_of_cofactors",-0.199,-0.0865,0.648,0.719
"hsa03460_Fanconi_anemia_pathway",-0.414,-0.291,0.648,0.719
"hsa05146_Amoebiasis",-0.142,-2.11,0.549,0.721
"hsa05224_Breast_cancer",0.142,-2.41,0.532,0.721
"hsa04060_Cytokine-cytokine_receptor_interaction",-0.912,-1.27,0.65,0.725
"hsa04621_NOD-like_receptor_signaling_pathway",0.214,-1.56,0.715,0.727
"hsa00650_Butanoate_metabolism",-0.337,-0.367,0.662,0.729
"hsa05010_Alzheimer_disease",-1.09,-3.45,0.68,0.731
"hsa05414_Dilated_cardiomyopathy",-0.802,-1.82,0.702,0.733
"hsa05204_Chemical_carcinogenesis",-0.425,-0.505,0.692,0.733
"hsa00920_Sulfur_metabolism",-0.0778,-0.0215,0.674,0.737
"hsa03060_Protein_export",-0.323,-0.234,0.662,0.739
"hsa03022_Basal_transcription_factors",-0.127,0.00889,0.721,0.745
"hsa03320_PPAR_signaling_pathway",-0.272,-0.309,0.662,0.747
"hsa00604_Glycosphingolipid_biosynthesis",-0.422,-0.391,0.69,0.757
"hsa04110_Cell_cycle",-0.393,-0.952,0.721,0.763
"hsa04975_Fat_digestion_and_absorption",-0.621,-0.699,0.66,0.765
"hsa05168_Herpes_simplex_virus_1_infection",-0.064,-1.2,0.715,0.767
"hsa04217_Necroptosis",-0.0939,-1.06,0.769,0.769
"hsa03018_RNA_degradation",-0.0669,0.0736,0.713,0.769
"hsa00450_Selenocompound_metabolism",0.0106,0.0844,0.729,0.771
"hsa04657_IL-17_signaling_pathway",-0.351,-2.03,0.692,0.775
"hsa03420_Nucleotide_excision_repair",-0.676,-0.615,0.711,0.783
"hsa05410_Hypertrophic_cardiomyopathy",-0.961,-1.39,0.761,0.785
"hsa01210_2-Oxocarboxylic_acid_metabolism",-0.431,-0.458,0.729,0.787
"hsa00513_Various_types_of_N-glycan_biosynthesis",-0.261,-0.198,0.741,0.796
"hsa04925_Aldosterone_synthesis_and_secretion",-1.06,-3.06,0.771,0.798
"hsa00190_Oxidative_phosphorylation",-2.63,-2.9,0.725,0.814
"hsa00531_Glycosaminoglycan_degradation",-0.599,-0.555,0.747,0.816
"hsa04973_Carbohydrate_digestion_and_absorption",0.17,-1.75,0.579,0.816
"hsa04922_Glucagon_signaling_pathway",-0.871,-2.51,0.816,0.818
"hsa00020_Citrate_cycle_(TCA_cycle)",-1.01,-1.02,0.706,0.82
"hsa01524_Platinum_drug_resistance",-0.101,-1.63,0.814,0.822
"hsa04964_Proximal_tubule_bicarbonate_reclamation",-0.458,-0.584,0.765,0.824
"hsa03008_Ribosome_biogenesis_in_eukaryotes",-0.724,-0.553,0.753,0.826
"hsa00830_Retinol_metabolism",-1.14,-1.12,0.749,0.826
"hsa00790_Folate_biosynthesis",-0.285,-0.22,0.765,0.828
"hsa05226_Gastric_cancer",-0.123,-2.67,0.636,0.832
"hsa00053_Ascorbate_and_aldarate_metabolism",-0.762,-0.908,0.735,0.836
"hsa00860_Porphyrin_and_chlorophyll_metabolism",-1.09,-1.08,0.747,0.838
"hsa05012_Parkinson_disease",-2.81,-3.79,0.794,0.84
"hsa00480_Glutathione_metabolism",-0.74,-0.763,0.767,0.842
"hsa00040_Pentose_and_glucuronate_interconversions",-0.788,-0.811,0.769,0.844
"hsa00400_Phenylalanine,_tyrosine_and_tryptophan_biosynthesis",-0.695,-0.743,0.767,0.848
"hsa00270_Cysteine_and_methionine_metabolism",-0.563,-0.522,0.745,0.848
"hsa00510_N-Glycan_biosynthesis",-0.226,-0.113,0.783,0.854
"hsa05020_Prion_disease",-2.03,-3.86,0.779,0.856
"hsa00983_Drug_metabolism",-0.677,-0.709,0.761,0.856
"hsa00511_Other_glycan_degradation",-0.624,-0.576,0.804,0.858
"hsa04976_Bile_secretion",-1.48,-2.25,0.783,0.858
"hsa04962_Vasopressin-regulated_water_reabsorption",-0.629,-1.5,0.81,0.862
"hsa00140_Steroid_hormone_biosynthesis",-1.07,-1.06,0.753,0.866
"hsa05110_Vibrio_cholerae_infection",-0.743,-1.45,0.854,0.868
"hsa04713_Circadian_entrainment",-1.26,-3.31,0.848,0.872
"hsa05216_Thyroid_cancer",-0.541,-1.9,0.818,0.872
"hsa00232_Caffeine_metabolism",-0.755,-0.76,0.796,0.877
"hsa04723_Retrograde_endocannabinoid_signaling",-1.92,-3.81,0.818,0.881
"hsa04742_Taste_transduction",-1.59,-2.29,0.775,0.885
"hsa04724_Glutamatergic_synapse",-1.27,-3.09,0.794,0.891
"hsa00591_Linoleic_acid_metabolism",-0.734,-0.927,0.832,0.895
"hsa00980_Metabolism_of_xenobiotics_by_cytochrome_P450",-1.08,-1.17,0.804,0.895
"hsa04916_Melanogenesis",-1.11,-3.64,0.893,0.897
"hsa05133_Pertussis",-0.709,-2.45,0.86,0.897
"hsa00630_Glyoxylate_and_dicarboxylate_metabolism",-1.21,-1.21,0.804,0.897
"hsa00910_Nitrogen_metabolism",-0.765,-0.7,0.848,0.907
"hsa04061_Viral_protein_interaction_with_cytokine_and_cytokine_receptor",-0.946,-1.18,0.84,0.909
"hsa03050_Proteasome",-1.52,-1.61,0.86,0.911
"hsa00360_Phenylalanine_metabolism",-1.13,-1.19,0.826,0.919
"hsa04960_Aldosterone-regulated_sodium_reabsorption",-0.427,-2.15,0.709,0.919
"hsa00520_Amino_sugar_and_nucleotide_sugar_metabolism",-0.898,-0.825,0.868,0.921
"hsa00524_Neomycin,_kanamycin_and_gentamicin_biosynthesis",-1.09,-1.15,0.848,0.927
"hsa03430_Mismatch_repair",-1.51,-1.47,0.848,0.927
"hsa00620_Pyruvate_metabolism",-1.27,-1.37,0.84,0.931
"hsa03030_DNA_replication",-2.49,-2.43,0.822,0.933
"hsa04934_Cushing_syndrome",-1.47,-3.48,0.927,0.935
"hsa04721_Synaptic_vesicle_cycle",-1.48,-1.48,0.866,0.937
"hsa03040_Spliceosome",-2.16,-1.96,0.899,0.939
"hsa00760_Nicotinate_and_nicotinamide_metabolism",-0.894,-0.819,0.919,0.941
"hsa00430_Taurine_and_hypotaurine_metabolism",-1.02,-0.982,0.881,0.941
"hsa05016_Huntington_disease",-3.53,-4.41,0.854,0.941
"hsa04911_Insulin_secretion",-1.5,-3.33,0.862,0.945
"hsa04966_Collecting_duct_acid_secretion",-0.869,-0.952,0.905,0.947
"hsa04744_Phototransduction",-1.86,-2.17,0.881,0.949
"hsa04390_Hippo_signaling_pathway",-1.24,-1.83,0.868,0.949
"hsa04950_Maturity_onset_diabetes_of_the_young",-1.61,-1.61,0.879,0.951
"hsa04915_Estrogen_signaling_pathway",-1.19,-4.32,0.854,0.96
"hsa04810_Regulation_of_actin_cytoskeleton",-0.879,-2.44,0.826,0.96
"hsa05031_Amphetamine_addiction",-2.1,-3.54,0.939,0.962
"hsa03440_Homologous_recombination",-1.85,-1.77,0.909,0.962
"hsa05217_Basal_cell_carcinoma",-1.37,-1.86,0.943,0.964
"hsa04710_Circadian_rhythm",-1.27,-1.39,0.919,0.968
"hsa00350_Tyrosine_metabolism",-1.52,-1.55,0.909,0.968
"hsa04726_Serotonergic_synapse",-1.37,-3.2,0.872,0.968
"hsa00982_Drug_metabolism",-2.1,-2.22,0.927,0.97
"hsa04970_Salivary_secretion",-1.61,-3.26,0.925,0.97
"hsa04623_Cytosolic_DNA-sensing_pathway",-1.55,-2.49,0.919,0.97
"hsa04918_Thyroid_hormone_synthesis",-1.69,-3.54,0.937,0.972
"hsa04927_Cortisol_synthesis_and_secretion",-1.55,-3.37,0.923,0.976
"hsa04740_Olfactory_transduction",-3.35,-3.69,0.923,0.978
"hsa05030_Cocaine_addiction",-1.84,-2.81,0.976,0.98
"hsa04978_Mineral_absorption",-2.62,-2.64,0.933,0.98
"hsa04024_cAMP_signaling_pathway",-2.15,-4.41,0.917,0.98
"hsa00670_One_carbon_pool_by_folate",-1.84,-1.79,0.927,0.982
"hsa05033_Nicotine_addiction",-2.66,-2.72,0.893,0.982
"hsa04961_Endocrine_and_other_factor-regulated_calcium_reabsorption",-1.54,-2.73,0.933,0.986
"hsa00563_Glycosylphosphatidylinositol_(GPI)-anchor_biosynthesis",-1.85,-1.75,0.96,0.988
"hsa04360_Axon_guidance",-1.9,-3.23,0.911,0.988
"hsa03020_RNA_polymerase",-2.31,-2.24,0.96,0.992
"hsa00500_Starch_and_sucrose_metabolism",-1.56,-1.55,0.957,0.992
"hsa04530_Tight_junction",-2.33,-2.92,0.962,0.994
"hsa04020_Calcium_signaling_pathway",-3.21,-4.49,0.974,0.996
"hsa04080_Neuroactive_ligand-receptor_interaction",-4.57,-4.39,0.972,0.996
