"GSE16515.GENE.SET","GSE16515.MEAN.ABS.T0","GSE16515.PADOG0","GSE16515.P.MEAN.ABS.T","GSE16515.PVAL"
"hsa05212_Pancreatic_cancer",1.52,-1.86,0.103,0.069
"hsa04670_Leukocyte_transendothelial_migration",3.14,1.31,0.07,0.075
"hsa00051_Fructose_and_mannose_metabolism",2.58,2.46,0.107,0.08
"hsa04066_HIF-1_signaling_pathway",1.85,-0.0935,0.132,0.082
"hsa05215_Prostate_cancer",1.22,-2.11,0.172,0.086
"hsa00240_Pyrimidine_metabolism",1.89,2.05,0.124,0.099
"hsa04961_Endocrine_and_other_factor-regulated_calcium_reabsorption",1.62,0.105,0.149,0.101
"hsa00480_Glutathione_metabolism",2.13,2.05,0.141,0.102
"hsa05131_Shigellosis",1.97,-0.761,0.133,0.107
"hsa04144_Endocytosis",2.05,1.81,0.109,0.108
"hsa04978_Mineral_absorption",2.34,2.25,0.133,0.109
"hsa05206_MicroRNAs_in_cancer",1.98,-0.197,0.136,0.112
"hsa04110_Cell_cycle",2.35,1.46,0.124,0.113
"hsa00983_Drug_metabolism",2.27,2.08,0.164,0.122
"hsa05017_Spinocerebellar_ataxia",1.69,-0.104,0.138,0.122
"hsa04911_Insulin_secretion",2.02,-0.667,0.132,0.129
"hsa05169_Epstein-Barr_virus_infection",2.48,-0.631,0.152,0.13
"hsa01200_Carbon_metabolism",2.33,2.12,0.181,0.133
"hsa01230_Biosynthesis_of_amino_acids",1.92,1.85,0.189,0.135
"hsa04810_Regulation_of_actin_cytoskeleton",2.51,0.899,0.16,0.144
"hsa04922_Glucagon_signaling_pathway",1.86,-0.87,0.127,0.144
"hsa04137_Mitophagy",1.19,-0.151,0.125,0.144
"hsa05210_Colorectal_cancer",1.37,-2.19,0.164,0.147
"hsa04621_NOD-like_receptor_signaling_pathway",1.83,-0.529,0.137,0.147
"hsa05219_Bladder_cancer",1.53,-0.51,0.17,0.15
"hsa04390_Hippo_signaling_pathway",1.72,0.656,0.123,0.155
"hsa00601_Glycosphingolipid_biosynthesis",1.92,2.11,0.198,0.157
"hsa05110_Vibrio_cholerae_infection",1.27,0.456,0.227,0.159
"hsa03050_Proteasome",2.89,2.66,0.174,0.162
"hsa04915_Estrogen_signaling_pathway",1.77,-2.07,0.145,0.162
"hsa05166_Human_T-cell_leukemia_virus_1_infection",1.48,-1.82,0.217,0.164
"hsa04014_Ras_signaling_pathway",1.82,-1.07,0.196,0.167
"hsa05162_Measles",1.45,-1.44,0.189,0.169
"hsa00750_Vitamin_B6_metabolism",1.2,1.2,0.209,0.172
"hsa04971_Gastric_acid_secretion",1.91,-1.57,0.171,0.173
"hsa00760_Nicotinate_and_nicotinamide_metabolism",1.33,1.46,0.205,0.175
"hsa05145_Toxoplasmosis",1.63,-1.32,0.173,0.175
"hsa04330_Notch_signaling_pathway",1.22,1.17,0.205,0.177
"hsa00830_Retinol_metabolism",2.53,2.48,0.246,0.179
"hsa05211_Renal_cell_carcinoma",0.737,-1.61,0.263,0.182
"hsa00514_Other_types_of_O-glycan_biosynthesis",1.34,1.55,0.232,0.187
"hsa05417_Lipid_and_atherosclerosis",1.33,-2.72,0.208,0.192
"hsa05225_Hepatocellular_carcinoma",1.16,-1.55,0.25,0.193
"hsa04919_Thyroid_hormone_signaling_pathway",0.849,-1.68,0.238,0.193
"hsa00640_Propanoate_metabolism",1.83,1.71,0.232,0.201
"hsa04114_Oocyte_meiosis",1.33,-1.28,0.176,0.214
"hsa04657_IL-17_signaling_pathway",1.33,-0.641,0.237,0.215
"hsa04360_Axon_guidance",1.29,-0.221,0.194,0.222
"hsa05167_Kaposi_sarcoma-associated_herpesvirus_infection",1.56,-2.98,0.189,0.229
"hsa04668_TNF_signaling_pathway",1.19,-1.63,0.28,0.23
"hsa00280_Valine,_leucine_and_isoleucine_degradation",1.77,1.68,0.268,0.243
"hsa00900_Terpenoid_backbone_biosynthesis",1.19,1.24,0.295,0.248
"hsa04927_Cortisol_synthesis_and_secretion",1.01,-1.62,0.235,0.25
"hsa04612_Antigen_processing_and_presentation",1.87,1.19,0.268,0.251
"hsa00040_Pentose_and_glucuronate_interconversions",1.52,1.32,0.316,0.263
"hsa00650_Butanoate_metabolism",1.26,1.22,0.294,0.264
"hsa05120_Epithelial_cell_signaling_in_Helicobacter_pylori_infection",1.31,-0.736,0.275,0.264
"hsa05416_Viral_myocarditis",2.07,0.449,0.236,0.267
"hsa03450_Non-homologous_end-joining",0.804,0.926,0.294,0.27
"hsa04610_Complement_and_coagulation_cascades",1.88,2.01,0.296,0.273
"hsa04020_Calcium_signaling_pathway",1.56,-0.665,0.279,0.273
"hsa05216_Thyroid_cancer",1.29,-0.804,0.232,0.279
"hsa04964_Proximal_tubule_bicarbonate_reclamation",1.16,0.797,0.307,0.281
"hsa04930_Type_II_diabetes_mellitus",0.61,-0.966,0.43,0.284
"hsa04960_Aldosterone-regulated_sodium_reabsorption",0.672,-0.772,0.435,0.288
"hsa00513_Various_types_of_N-glycan_biosynthesis",0.863,1.01,0.345,0.289
"hsa04721_Synaptic_vesicle_cycle",0.869,0.808,0.287,0.291
"hsa04962_Vasopressin-regulated_water_reabsorption",0.349,-0.562,0.427,0.293
"hsa05207_Chemical_carcinogenesis",0.87,-2.13,0.382,0.295
"hsa00500_Starch_and_sucrose_metabolism",1.55,1.42,0.353,0.295
"hsa04611_Platelet_activation",0.989,-2,0.32,0.297
"hsa05146_Amoebiasis",1.09,-0.884,0.373,0.299
"hsa04914_Progesterone-mediated_oocyte_maturation",0.377,-2.2,0.381,0.3
"hsa04071_Sphingolipid_signaling_pathway",0.942,-2.23,0.281,0.302
"hsa04145_Phagosome",1.94,0.986,0.299,0.306
"hsa04966_Collecting_duct_acid_secretion",0.819,0.681,0.348,0.313
"hsa01212_Fatty_acid_metabolism",1.27,1.22,0.347,0.317
"hsa04350_TGF-beta_signaling_pathway",0.873,0.275,0.347,0.317
"hsa00860_Porphyrin_and_chlorophyll_metabolism",0.958,0.855,0.359,0.322
"hsa04015_Rap1_signaling_pathway",1.35,-1.93,0.327,0.322
"hsa04925_Aldosterone_synthesis_and_secretion",1.13,-2.11,0.29,0.324
"hsa00100_Steroid_biosynthesis",1.42,1.59,0.374,0.332
"hsa00670_One_carbon_pool_by_folate",0.612,0.709,0.369,0.333
"hsa05213_Endometrial_cancer",0.589,-2.44,0.351,0.333
"hsa00053_Ascorbate_and_aldarate_metabolism",1.38,1.05,0.381,0.336
"hsa00260_Glycine,_serine_and_threonine_metabolism",1,1.09,0.37,0.338
"hsa00630_Glyoxylate_and_dicarboxylate_metabolism",0.93,0.884,0.38,0.344
"hsa04972_Pancreatic_secretion",1.87,-0.339,0.313,0.345
"hsa04625_C-type_lectin_receptor_signaling_pathway",0.697,-2.88,0.332,0.348
"hsa05133_Pertussis",1.13,-1.72,0.326,0.349
"hsa04120_Ubiquitin_mediated_proteolysis",0.0834,0.212,0.38,0.35
"hsa04724_Glutamatergic_synapse",0.771,-1.88,0.316,0.357
"hsa04666_Fc_gamma_R-mediated_phagocytosis",0.68,-0.879,0.418,0.36
"hsa00061_Fatty_acid_biosynthesis",0.576,0.527,0.397,0.368
"hsa04713_Circadian_entrainment",0.992,-2.37,0.333,0.369
"hsa05202_Transcriptional_misregulation_in_cancer",1.14,0.443,0.372,0.37
"hsa04976_Bile_secretion",1.38,0.24,0.404,0.374
"hsa04514_Cell_adhesion_molecules",1.36,1.05,0.396,0.376
"hsa04730_Long-term_depression",0.972,-1.89,0.274,0.376
"hsa05204_Chemical_carcinogenesis",1.47,1.14,0.4,0.384
"hsa04916_Melanogenesis",1.06,-2.8,0.285,0.386
"hsa04310_Wnt_signaling_pathway",1.15,-0.821,0.305,0.396
"hsa04012_ErbB_signaling_pathway",0.169,-2.63,0.525,0.397
"hsa00430_Taurine_and_hypotaurine_metabolism",0.484,0.539,0.436,0.397
"hsa05321_Inflammatory_bowel_disease",0.549,-0.679,0.452,0.402
"hsa04141_Protein_processing_in_endoplasmic_reticulum",0.628,0.284,0.404,0.403
"hsa00980_Metabolism_of_xenobiotics_by_cytochrome_P450",1.16,0.886,0.431,0.41
"hsa04142_Lysosome",0.433,0.648,0.436,0.417
"hsa00072_Synthesis_and_degradation_of_ketone_bodies",0.699,0.61,0.42,0.417
"hsa04146_Peroxisome",0.708,0.836,0.444,0.419
"hsa00520_Amino_sugar_and_nucleotide_sugar_metabolism",0.723,0.76,0.451,0.424
"hsa04022_cGMP-PKG_signaling_pathway",0.988,-2.24,0.352,0.427
"hsa04924_Renin_secretion",1.34,-1.54,0.3,0.427
"hsa04024_cAMP_signaling_pathway",0.578,-2.44,0.429,0.434
"hsa00982_Drug_metabolism",0.941,0.616,0.46,0.449
"hsa05322_Systemic_lupus_erythematosus",0.33,0.0573,0.516,0.451
"hsa04974_Protein_digestion_and_absorption",1.18,1.16,0.47,0.452
"hsa00140_Steroid_hormone_biosynthesis",0.622,0.561,0.466,0.454
"hsa04540_Gap_junction",0.655,-2.64,0.407,0.469
"hsa04261_Adrenergic_signaling_in_cardiomyocytes",0.636,-2.57,0.403,0.471
"hsa04926_Relaxin_signaling_pathway",0.504,-3.48,0.493,0.472
"hsa00400_Phenylalanine,_tyrosine_and_tryptophan_biosynthesis",0.363,0.303,0.501,0.477
"hsa00071_Fatty_acid_degradation",0.7,0.521,0.495,0.482
"hsa05171_Coronavirus_disease",-0.325,-1.94,0.543,0.483
"hsa05163_Human_cytomegalovirus_infection",0.701,-4.69,0.347,0.485
"hsa04720_Long-term_potentiation",0.495,-3.26,0.332,0.486
"hsa04371_Apelin_signaling_pathway",0.705,-2.66,0.374,0.488
"hsa04921_Oxytocin_signaling_pathway",0.747,-2.99,0.408,0.493
"hsa04918_Thyroid_hormone_synthesis",0.68,-1.99,0.407,0.499
"hsa00740_Riboflavin_metabolism",0.447,0.493,0.538,0.501
"hsa00510_N-Glycan_biosynthesis",0.0743,0.253,0.532,0.517
"hsa04950_Maturity_onset_diabetes_of_the_young",0.378,0.419,0.555,0.532
"hsa01240_Biosynthesis_of_cofactors",0.425,0.483,0.54,0.533
"hsa00052_Galactose_metabolism",0.692,0.495,0.537,0.534
"hsa05226_Gastric_cancer",0.44,-2.18,0.523,0.543
"hsa05135_Yersinia_infection",0.0709,-2.82,0.519,0.546
"hsa00565_Ether_lipid_metabolism",0.477,0.33,0.568,0.547
"hsa05332_Graft-versus-host_disease",0.0546,-0.912,0.57,0.548
"hsa00592_alpha-Linolenic_acid_metabolism",0.461,0.0816,0.545,0.549
"hsa05010_Alzheimer_disease",-0.224,-3.17,0.515,0.55
"hsa04064_NF-kappa_B_signaling_pathway",0.324,-1.07,0.548,0.553
"hsa04933_AGE-RAGE_signaling_pathway_in_diabetic_complications",0.621,-2.83,0.498,0.553
"hsa05022_Pathways_of_neurodegeneration",-0.199,-3.13,0.465,0.556
"hsa04710_Circadian_rhythm",0.191,-0.0853,0.542,0.557
"hsa05020_Prion_disease",-0.409,-2.85,0.535,0.557
"hsa05161_Hepatitis_B",0.0211,-3.97,0.52,0.557
"hsa04260_Cardiac_muscle_contraction",-0.0687,-0.624,0.552,0.56
"hsa04727_GABAergic_synapse",0.0501,-1.6,0.577,0.561
"hsa05330_Allograft_rejection",-0.188,-1.21,0.554,0.561
"hsa04068_FoxO_signaling_pathway",0.147,-2.41,0.592,0.567
"hsa00920_Sulfur_metabolism",0.155,0.257,0.576,0.567
"hsa05014_Amyotrophic_lateral_sclerosis",-0.813,-2.24,0.514,0.568
"hsa03030_DNA_replication",-0.299,-0.183,0.579,0.569
"hsa04622_RIG-I-like_receptor_signaling_pathway",-0.0264,-1.94,0.511,0.573
"hsa01521_EGFR_tyrosine_kinase_inhibitor_resistance",-0.259,-3.03,0.656,0.574
"hsa00590_Arachidonic_acid_metabolism",0.648,0.435,0.594,0.576
"hsa04659_Th17_cell_differentiation",-0.17,-2.35,0.573,0.576
"hsa00130_Ubiquinone_and_other_terpenoid-quinone_biosynthesis",0.103,0.158,0.572,0.577
"hsa05134_Legionellosis",0.379,-0.778,0.579,0.579
"hsa01040_Biosynthesis_of_unsaturated_fatty_acids",0.214,0.26,0.601,0.583
"hsa05221_Acute_myeloid_leukemia",-0.109,-2.55,0.642,0.586
"hsa04726_Serotonergic_synapse",0.677,-1.93,0.436,0.59
"hsa04722_Neurotrophin_signaling_pathway",0.276,-3.4,0.451,0.591
"hsa00471_D-Glutamine_and_D-glutamate_metabolism",-0.175,-0.209,0.605,0.595
"hsa04940_Type_I_diabetes_mellitus",-0.0454,-1.05,0.602,0.595
"hsa04658_Th1_and_Th2_cell_differentiation",-0.281,-2.35,0.577,0.595
"hsa05217_Basal_cell_carcinoma",0.339,-0.758,0.549,0.595
"hsa05223_Non-small_cell_lung_cancer",-0.176,-3.06,0.643,0.61
"hsa00603_Glycosphingolipid_biosynthesis",0.199,0.276,0.627,0.612
"hsa05140_Leishmaniasis",-0.529,-2.49,0.622,0.612
"hsa05034_Alcoholism",-0.0725,-2.19,0.56,0.614
"hsa00232_Caffeine_metabolism",0.0499,0.0446,0.634,0.616
"hsa03060_Protein_export",-0.324,-0.197,0.624,0.622
"hsa00380_Tryptophan_metabolism",0.254,0.131,0.621,0.625
"hsa00591_Linoleic_acid_metabolism",0.37,0.0199,0.612,0.625
"hsa05152_Tuberculosis",-0.25,-3.2,0.532,0.626
"hsa03010_Ribosome",-1.48,-1.18,0.611,0.627
"hsa02010_ABC_transporters",0.187,0.333,0.651,0.632
"hsa05012_Parkinson_disease",-0.699,-2.77,0.555,0.634
"hsa00062_Fatty_acid_elongation",-0.0343,0.03,0.643,0.636
"hsa04370_VEGF_signaling_pathway",0.169,-2.99,0.553,0.638
"hsa04080_Neuroactive_ligand-receptor_interaction",-0.772,-0.567,0.669,0.644
"hsa04979_Cholesterol_metabolism",0.0503,0.114,0.645,0.644
"hsa04650_Natural_killer_cell_mediated_cytotoxicity",-0.346,-2.68,0.606,0.646
"hsa05224_Breast_cancer",0.0461,-2.4,0.663,0.647
"hsa00230_Purine_metabolism",0.176,-0.266,0.641,0.649
"hsa04740_Olfactory_transduction",-1.85,-2.42,0.643,0.652
"hsa03440_Homologous_recombination",-0.587,-0.491,0.665,0.662
"hsa00410_beta-Alanine_metabolism",-0.0537,-0.175,0.644,0.662
"hsa05033_Nicotine_addiction",-0.537,-0.736,0.649,0.667
"hsa03410_Base_excision_repair",-0.361,-0.232,0.661,0.672
"hsa00360_Phenylalanine_metabolism",0.0365,-0.0109,0.688,0.673
"hsa04977_Vitamin_digestion_and_absorption",0.116,0.234,0.683,0.674
"hsa03020_RNA_polymerase",-0.645,-0.506,0.687,0.686
"hsa04917_Prolactin_signaling_pathway",0.0948,-2.91,0.576,0.687
"hsa05220_Chronic_myeloid_leukemia",-0.137,-3.31,0.641,0.688
"hsa04660_T_cell_receptor_signaling_pathway",-0.298,-3.4,0.635,0.688
"hsa00564_Glycerophospholipid_metabolism",-0.0583,-0.0575,0.68,0.69
"hsa05323_Rheumatoid_arthritis",-0.473,-1.43,0.717,0.691
"hsa04913_Ovarian_steroidogenesis",-0.193,-1.64,0.724,0.693
"hsa03040_Spliceosome",-1.89,-1.64,0.696,0.695
"hsa04923_Regulation_of_lipolysis_in_adipocytes",-0.0541,-2.23,0.74,0.698
"hsa04623_Cytosolic_DNA-sensing_pathway",-0.577,-1.58,0.711,0.699
"hsa00250_Alanine,_aspartate_and_glutamate_metabolism",-0.0126,0.00704,0.695,0.699
"hsa00620_Pyruvate_metabolism",-0.202,-0.385,0.692,0.703
"hsa04934_Cushing_syndrome",0.165,-2.79,0.598,0.703
"hsa04630_JAK-STAT_signaling_pathway",-0.765,-2.22,0.716,0.704
"hsa03460_Fanconi_anemia_pathway",-0.682,-0.522,0.692,0.704
"hsa01522_Endocrine_resistance",-0.432,-4.08,0.777,0.707
"hsa05016_Huntington_disease",-1.38,-2.81,0.652,0.709
"hsa04614_Renin-angiotensin_system",0.101,0.187,0.745,0.711
"hsa00531_Glycosaminoglycan_degradation",-0.403,-0.311,0.747,0.723
"hsa03320_PPAR_signaling_pathway",-0.232,-0.284,0.724,0.725
"hsa03015_mRNA_surveillance_pathway",-1.12,-1.1,0.722,0.726
"hsa00220_Arginine_biosynthesis",-0.101,-0.201,0.741,0.732
"hsa04910_Insulin_signaling_pathway",-0.561,-3.01,0.78,0.735
"hsa05143_African_trypanosomiasis",-0.233,-1.71,0.739,0.738
"hsa04973_Carbohydrate_digestion_and_absorption",-0.062,-1.59,0.804,0.747
"hsa00562_Inositol_phosphate_metabolism",-0.629,-1.13,0.773,0.747
"hsa05144_Malaria",-0.447,-1.18,0.747,0.747
"hsa04750_Inflammatory_mediator_regulation_of_TRP_channels",0.142,-3.57,0.648,0.747
"hsa04744_Phototransduction",-0.332,-1.37,0.69,0.751
"hsa00970_Aminoacyl-tRNA_biosynthesis",-0.905,-0.687,0.732,0.752
"hsa03018_RNA_degradation",-1.03,-0.843,0.775,0.754
"hsa00511_Other_glycan_degradation",-0.432,-0.337,0.767,0.756
"hsa00120_Primary_bile_acid_biosynthesis",-0.578,-0.487,0.756,0.769
"hsa01210_2-Oxocarboxylic_acid_metabolism",-0.615,-0.651,0.751,0.771
"hsa04613_Neutrophil_extracellular_trap_formation",-0.736,-2.5,0.778,0.779
"hsa05218_Melanoma",-0.335,-2.75,0.781,0.784
"hsa04380_Osteoclast_differentiation",-0.638,-3.34,0.714,0.784
"hsa00310_Lysine_degradation",-0.834,-0.763,0.769,0.79
"hsa00340_Histidine_metabolism",-0.363,-0.399,0.78,0.793
"hsa04070_Phosphatidylinositol_signaling_system",-0.676,-2.34,0.798,0.803
"hsa05320_Autoimmune_thyroid_disease",-1,-1.99,0.756,0.803
"hsa04728_Dopaminergic_synapse",-0.0716,-3.74,0.624,0.809
"hsa04672_Intestinal_immune_network_for_IgA_production",-0.819,-1.34,0.807,0.811
"hsa05150_Staphylococcus_aureus_infection",-1.26,-1.48,0.79,0.813
"hsa03013_RNA_transport",-1.76,-1.48,0.81,0.816
"hsa04060_Cytokine-cytokine_receptor_interaction",-1.09,-1.45,0.825,0.817
"hsa04152_AMPK_signaling_pathway",-0.71,-2,0.84,0.82
"hsa05032_Morphine_addiction",-0.462,-2.08,0.784,0.822
"hsa00534_Glycosaminoglycan_biosynthesis",-0.664,-0.503,0.836,0.829
"hsa00270_Cysteine_and_methionine_metabolism",-0.58,-0.534,0.801,0.829
"hsa04931_Insulin_resistance",-1.07,-2.95,0.853,0.831
"hsa04150_mTOR_signaling_pathway",-0.92,-2.76,0.903,0.841
"hsa04136_Autophagy",-1.35,-1.49,0.827,0.841
"hsa04550_Signaling_pathways_regulating_pluripotency_of_stem_cells",-0.609,-2.38,0.799,0.845
"hsa03008_Ribosome_biogenesis_in_eukaryotes",-1.75,-1.52,0.841,0.846
"hsa05031_Amphetamine_addiction",-0.322,-2.91,0.824,0.847
"hsa01523_Antifolate_resistance",-0.666,-1.38,0.881,0.85
"hsa05231_Choline_metabolism_in_cancer",-0.707,-2.99,0.861,0.851
"hsa05415_Diabetic_cardiomyopathy",-1.74,-4,0.843,0.853
"hsa04640_Hematopoietic_cell_lineage",-1.34,-1.81,0.848,0.854
"hsa00790_Folate_biosynthesis",-0.423,-0.33,0.852,0.857
"hsa04340_Hedgehog_signaling_pathway",-0.814,-1.38,0.819,0.86
"hsa04270_Vascular_smooth_muscle_contraction",-0.562,-3.25,0.789,0.865
"hsa00533_Glycosaminoglycan_biosynthesis",-0.683,-0.611,0.859,0.868
"hsa03430_Mismatch_repair",-1.11,-1.07,0.857,0.869
"hsa04929_GnRH_secretion",-0.324,-2.91,0.792,0.876
"hsa00561_Glycerolipid_metabolism",-0.729,-0.688,0.856,0.879
"hsa05214_Glioma",-0.686,-4.22,0.838,0.879
"hsa04392_Hippo_signaling_pathway",-0.815,-0.765,0.885,0.881
"hsa04920_Adipocytokine_signaling_pathway",-0.826,-2.34,0.871,0.882
"hsa04975_Fat_digestion_and_absorption",-0.866,-0.974,0.871,0.89
"hsa04061_Viral_protein_interaction_with_cytokine_and_cytokine_receptor",-0.987,-1.28,0.89,0.891
"hsa05030_Cocaine_addiction",-0.563,-2.34,0.834,0.892
"hsa04742_Taste_transduction",-1.76,-2.51,0.889,0.897
"hsa03420_Nucleotide_excision_repair",-1.5,-1.44,0.9,0.905
"hsa04723_Retrograde_endocannabinoid_signaling",-1.43,-4.11,0.874,0.911
"hsa00563_Glycosylphosphatidylinositol_(GPI)-anchor_biosynthesis",-1.11,-0.949,0.895,0.913
"hsa03022_Basal_transcription_factors",-1.52,-1.36,0.906,0.915
"hsa04664_Fc_epsilon_RI_signaling_pathway",-1.02,-3.99,0.834,0.918
"hsa04072_Phospholipase_D_signaling_pathway",-0.989,-3.44,0.89,0.921
"hsa00770_Pantothenate_and_CoA_biosynthesis",-1.08,-1.09,0.905,0.924
"hsa00330_Arginine_and_proline_metabolism",-0.801,-0.795,0.91,0.926
"hsa04211_Longevity_regulating_pathway",-1.58,-4.27,0.947,0.929
"hsa04935_Growth_hormone_synthesis,_secretion_and_action",-0.553,-5,0.824,0.929
"hsa00515_Mannose_type_O-glycan_biosynthesis",-1.18,-1.06,0.927,0.933
"hsa04122_Sulfur_relay_system",-1.44,-1.39,0.9,0.933
"hsa04932_Non-alcoholic_fatty_liver_disease",-2.66,-5.02,0.921,0.943
"hsa00020_Citrate_cycle_(TCA_cycle)",-1.64,-1.68,0.927,0.944
"hsa04130_SNARE_interactions_in_vesicular_transport",-1.27,-1.14,0.926,0.945
"hsa00604_Glycosphingolipid_biosynthesis",-1.16,-1.08,0.942,0.946
"hsa04140_Autophagy",-1.54,-3.24,0.951,0.948
"hsa00532_Glycosaminoglycan_biosynthesis",-1.71,-1.59,0.941,0.951
"hsa04213_Longevity_regulating_pathway",-1.48,-3.73,0.962,0.956
"hsa04725_Cholinergic_synapse",-0.615,-4.42,0.838,0.96
"hsa05310_Asthma",-2.32,-2.87,0.931,0.962
"hsa00350_Tyrosine_metabolism",-1.15,-1.18,0.94,0.963
"hsa00910_Nitrogen_metabolism",-1.12,-1.04,0.951,0.965
"hsa05340_Primary_immunodeficiency",-1.6,-1.68,0.96,0.966
"hsa00440_Phosphonate_and_phosphinate_metabolism",-1.51,-1.48,0.955,0.969
"hsa04620_Toll-like_receptor_signaling_pathway",-2.08,-4.93,0.95,0.972
"hsa04714_Thermogenesis",-3.82,-5.5,0.982,0.973
"hsa04062_Chemokine_signaling_pathway",-1.72,-4.86,0.93,0.973
"hsa04662_B_cell_receptor_signaling_pathway",-1.7,-4.27,0.964,0.974
"hsa04912_GnRH_signaling_pathway",-1.1,-5.43,0.872,0.982
"hsa05142_Chagas_disease",-1.11,-4.48,0.925,0.983
"hsa00190_Oxidative_phosphorylation",-4.42,-4.78,0.986,0.984
"hsa00730_Thiamine_metabolism",-1.65,-1.58,0.973,0.984
"hsa05235_PD-L1_expression_and_PD-1_checkpoint_pathway_in_cancer",-1.87,-4.58,0.967,0.984
"hsa05168_Herpes_simplex_virus_1_infection",-4.9,-6.05,0.974,0.986
"hsa00450_Selenocompound_metabolism",-2.46,-2.38,0.981,0.989
"hsa04928_Parathyroid_hormone_synthesis,_secretion_and_action",-1.23,-4.12,0.985,0.995
