"GSE20153.GENE.SET","GSE20153.MEAN.ABS.T0","GSE20153.PADOG0","GSE20153.P.MEAN.ABS.T","GSE20153.PVAL"
"hsa04150_mTOR_signaling_pathway",1.41,-0.654,0.111,0.1
"hsa05222_Small_cell_lung_cancer",1.48,-0.732,0.126,0.103
"hsa04550_Signaling_pathways_regulating_pluripotency_of_stem_cells",1.63,-0.184,0.089,0.105
"hsa04714_Thermogenesis",2.59,0.755,0.109,0.109
"hsa04934_Cushing_syndrome",1.23,-1.38,0.127,0.111
"hsa05220_Chronic_myeloid_leukemia",1.71,-1.75,0.096,0.113
"hsa04740_Olfactory_transduction",1.86,1.31,0.138,0.117
"hsa00220_Arginine_biosynthesis",1.12,0.963,0.178,0.132
"hsa04726_Serotonergic_synapse",1.23,-1.03,0.137,0.136
"hsa04260_Cardiac_muscle_contraction",1.08,0.605,0.194,0.137
"hsa04977_Vitamin_digestion_and_absorption",0.923,1.06,0.204,0.145
"hsa00513_Various_types_of_N-glycan_biosynthesis",1.42,1.52,0.183,0.15
"hsa04670_Leukocyte_transendothelial_migration",1.42,-0.381,0.109,0.15
"hsa00340_Histidine_metabolism",0.988,0.944,0.207,0.156
"hsa04340_Hedgehog_signaling_pathway",0.787,0.265,0.191,0.158
"hsa00410_beta-Alanine_metabolism",1.06,0.956,0.197,0.159
"hsa04213_Longevity_regulating_pathway",1.62,-1.28,0.099,0.16
"hsa04020_Calcium_signaling_pathway",0.969,-0.844,0.203,0.162
"hsa04014_Ras_signaling_pathway",1.36,-1.42,0.132,0.166
"hsa04932_Non-alcoholic_fatty_liver_disease",1.54,-0.699,0.177,0.168
"hsa04072_Phospholipase_D_signaling_pathway",1.25,-1.32,0.172,0.174
"hsa03020_RNA_polymerase",0.966,1.11,0.233,0.175
"hsa04012_ErbB_signaling_pathway",0.838,-2.29,0.148,0.178
"hsa00120_Primary_bile_acid_biosynthesis",1.02,1.11,0.254,0.187
"hsa05110_Vibrio_cholerae_infection",1.1,0.0193,0.206,0.19
"hsa04742_Taste_transduction",1.21,0.25,0.179,0.19
"hsa00590_Arachidonic_acid_metabolism",1.04,0.907,0.249,0.194
"hsa05412_Arrhythmogenic_right_ventricular_cardiomyopathy",0.793,0.235,0.215,0.195
"hsa04080_Neuroactive_ligand-receptor_interaction",1.28,1.51,0.253,0.206
"hsa05418_Fluid_shear_stress_and_atherosclerosis",1.6,-1.23,0.137,0.209
"hsa00592_alpha-Linolenic_acid_metabolism",0.83,0.522,0.259,0.211
"hsa04392_Hippo_signaling_pathway",0.891,0.958,0.252,0.213
"hsa04668_TNF_signaling_pathway",0.857,-1.66,0.292,0.216
"hsa04926_Relaxin_signaling_pathway",1.13,-2.87,0.124,0.219
"hsa04940_Type_I_diabetes_mellitus",1.46,0.353,0.269,0.224
"hsa00471_D-Glutamine_and_D-glutamate_metabolism",0.393,0.357,0.298,0.227
"hsa00400_Phenylalanine,_tyrosine_and_tryptophan_biosynthesis",0.429,0.354,0.313,0.231
"hsa05166_Human_T-cell_leukemia_virus_1_infection",1.54,-1.78,0.144,0.236
"hsa00020_Citrate_cycle_(TCA_cycle)",0.892,0.801,0.287,0.238
"hsa04142_Lysosome",1.05,1.22,0.283,0.238
"hsa04151_PI3K-Akt_signaling_pathway",0.669,-1.71,0.233,0.238
"hsa05163_Human_cytomegalovirus_infection",1.29,-3.61,0.124,0.238
"hsa05415_Diabetic_cardiomyopathy",1.27,-0.806,0.249,0.24
"hsa00565_Ether_lipid_metabolism",0.992,0.882,0.314,0.241
"hsa04371_Apelin_signaling_pathway",0.923,-2.05,0.204,0.244
"hsa04015_Rap1_signaling_pathway",1.08,-2.09,0.148,0.244
"hsa05022_Pathways_of_neurodegeneration",1.07,-1.19,0.283,0.252
"hsa03040_Spliceosome",0.899,1.14,0.298,0.256
"hsa05020_Prion_disease",1.71,-0.482,0.276,0.256
"hsa05017_Spinocerebellar_ataxia",0.744,-0.766,0.271,0.257
"hsa03050_Proteasome",1.58,1.35,0.28,0.262
"hsa04216_Ferroptosis",0.65,0.484,0.325,0.265
"hsa01523_Antifolate_resistance",0.523,-0.405,0.327,0.281
"hsa00534_Glycosaminoglycan_biosynthesis",0.401,0.561,0.354,0.283
"hsa05010_Alzheimer_disease",1.15,-1.5,0.296,0.285
"hsa05320_Autoimmune_thyroid_disease",1.11,-0.0318,0.301,0.286
"hsa00533_Glycosaminoglycan_biosynthesis",0.674,0.715,0.377,0.295
"hsa00980_Metabolism_of_xenobiotics_by_cytochrome_P450",0.848,0.648,0.356,0.303
"hsa00440_Phosphonate_and_phosphinate_metabolism",0.536,0.575,0.342,0.308
"hsa05016_Huntington_disease",0.595,-0.556,0.334,0.315
"hsa05012_Parkinson_disease",1.12,-0.69,0.326,0.315
"hsa04145_Phagosome",0.862,0.0436,0.318,0.315
"hsa04061_Viral_protein_interaction_with_cytokine_and_cytokine_receptor",1.27,0.926,0.35,0.319
"hsa01522_Endocrine_resistance",1.12,-3.05,0.186,0.32
"hsa03010_Ribosome",0.688,0.989,0.339,0.321
"hsa04923_Regulation_of_lipolysis_in_adipocytes",1.09,-1.63,0.193,0.322
"hsa04060_Cytokine-cytokine_receptor_interaction",1.16,0.767,0.376,0.327
"hsa04744_Phototransduction",0.426,-0.42,0.348,0.33
"hsa04910_Insulin_signaling_pathway",0.672,-2.08,0.228,0.331
"hsa05211_Renal_cell_carcinoma",0.757,-1.84,0.191,0.335
"hsa05410_Hypertrophic_cardiomyopathy",0.258,-0.415,0.392,0.336
"hsa04210_Apoptosis",0.776,-1.71,0.372,0.338
"hsa01210_2-Oxocarboxylic_acid_metabolism",0.431,0.397,0.404,0.339
"hsa05206_MicroRNAs_in_cancer",0.587,-1.38,0.348,0.342
"hsa04924_Renin_secretion",0.773,-1.64,0.317,0.344
"hsa00430_Taurine_and_hypotaurine_metabolism",0.308,0.368,0.392,0.346
"hsa05310_Asthma",0.977,0.213,0.36,0.347
"hsa00982_Drug_metabolism",0.341,0.104,0.401,0.348
"hsa05014_Amyotrophic_lateral_sclerosis",0.354,-0.691,0.368,0.355
"hsa04978_Mineral_absorption",0.519,0.561,0.432,0.356
"hsa04921_Oxytocin_signaling_pathway",0.719,-2.58,0.252,0.356
"hsa05203_Viral_carcinogenesis",1.12,-1.21,0.284,0.376
"hsa00450_Selenocompound_metabolism",0.196,0.284,0.477,0.377
"hsa00515_Mannose_type_O-glycan_biosynthesis",0.313,0.411,0.423,0.379
"hsa00310_Lysine_degradation",0.0163,0.136,0.481,0.386
"hsa05150_Staphylococcus_aureus_infection",0.984,0.643,0.417,0.388
"hsa00510_N-Glycan_biosynthesis",0.337,0.479,0.442,0.39
"hsa03013_RNA_transport",-0.00501,0.263,0.429,0.402
"hsa03320_PPAR_signaling_pathway",0.171,0.167,0.46,0.403
"hsa01524_Platinum_drug_resistance",0.653,-1.15,0.399,0.407
"hsa04979_Cholesterol_metabolism",0.15,0.184,0.451,0.411
"hsa00130_Ubiquinone_and_other_terpenoid-quinone_biosynthesis",0.0897,0.155,0.474,0.416
"hsa05414_Dilated_cardiomyopathy",0.188,-1.28,0.449,0.418
"hsa05145_Toxoplasmosis",0.636,-1.73,0.475,0.419
"hsa00603_Glycosphingolipid_biosynthesis",0.124,0.155,0.46,0.419
"hsa05212_Pancreatic_cancer",0.89,-2.56,0.237,0.421
"hsa04122_Sulfur_relay_system",0.0673,0.117,0.484,0.423
"hsa00512_Mucin_type_O-glycan_biosynthesis",0.3,0.451,0.491,0.432
"hsa04611_Platelet_activation",0.651,-2.34,0.287,0.439
"hsa05215_Prostate_cancer",0.614,-2.68,0.332,0.44
"hsa04730_Long-term_depression",0.32,-2.06,0.386,0.444
"hsa03008_Ribosome_biogenesis_in_eukaryotes",-0.238,-0.036,0.479,0.454
"hsa00900_Terpenoid_backbone_biosynthesis",-0.299,-0.186,0.542,0.459
"hsa04672_Intestinal_immune_network_for_IgA_production",0.781,0.106,0.507,0.465
"hsa00640_Propanoate_metabolism",-0.0327,-0.1,0.543,0.469
"hsa00240_Pyrimidine_metabolism",0.232,0.36,0.537,0.472
"hsa04970_Salivary_secretion",0.389,-1.8,0.471,0.472
"hsa05330_Allograft_rejection",0.814,-0.312,0.477,0.474
"hsa00620_Pyruvate_metabolism",0.113,-0.000123,0.533,0.475
"hsa04066_HIF-1_signaling_pathway",0.165,-1.8,0.516,0.475
"hsa04146_Peroxisome",0.132,0.296,0.548,0.479
"hsa04520_Adherens_junction",0.171,-0.906,0.445,0.48
"hsa00270_Cysteine_and_methionine_metabolism",0.0248,0.0606,0.52,0.484
"hsa04071_Sphingolipid_signaling_pathway",0.505,-2.36,0.368,0.485
"hsa00600_Sphingolipid_metabolism",0.235,0.356,0.538,0.486
"hsa04975_Fat_digestion_and_absorption",-0.0159,-0.0627,0.537,0.49
"hsa04141_Protein_processing_in_endoplasmic_reticulum",-0.261,-0.454,0.515,0.494
"hsa00561_Glycerolipid_metabolism",0.254,0.301,0.562,0.497
"hsa00750_Vitamin_B6_metabolism",-0.107,-0.0751,0.558,0.502
"hsa03440_Homologous_recombination",0.0415,0.15,0.55,0.505
"hsa04650_Natural_killer_cell_mediated_cytotoxicity",0.683,-1.73,0.419,0.509
"hsa04657_IL-17_signaling_pathway",-0.208,-1.7,0.627,0.513
"hsa05100_Bacterial_invasion_of_epithelial_cells",0.315,-1.12,0.371,0.515
"hsa00052_Galactose_metabolism",-0.0225,-0.0738,0.598,0.519
"hsa04137_Mitophagy",0.011,-1.12,0.466,0.521
"hsa05416_Viral_myocarditis",0.398,-0.72,0.547,0.529
"hsa04370_VEGF_signaling_pathway",0.629,-2.57,0.346,0.536
"hsa00604_Glycosphingolipid_biosynthesis",-0.193,-0.153,0.574,0.537
"hsa04971_Gastric_acid_secretion",0.061,-2.69,0.46,0.54
"hsa05144_Malaria",0.0734,-0.638,0.599,0.541
"hsa00250_Alanine,_aspartate_and_glutamate_metabolism",-0.237,-0.225,0.597,0.541
"hsa04974_Protein_digestion_and_absorption",-0.321,-0.267,0.599,0.542
"hsa04330_Notch_signaling_pathway",-0.0681,-0.0781,0.601,0.544
"hsa03420_Nucleotide_excision_repair",-0.472,-0.429,0.569,0.545
"hsa04270_Vascular_smooth_muscle_contraction",0.145,-2.35,0.494,0.554
"hsa05417_Lipid_and_atherosclerosis",0.319,-3.23,0.473,0.558
"hsa03015_mRNA_surveillance_pathway",-0.597,-0.567,0.601,0.559
"hsa04935_Growth_hormone_synthesis,_secretion_and_action",0.284,-3.87,0.438,0.56
"hsa00860_Porphyrin_and_chlorophyll_metabolism",-0.152,-0.182,0.64,0.562
"hsa05130_Pathogenic_Escherichia_coli_infection",-0.071,-1.69,0.587,0.563
"hsa05204_Chemical_carcinogenesis",-0.0857,-0.266,0.617,0.573
"hsa04211_Longevity_regulating_pathway",0.544,-2.47,0.33,0.575
"hsa00480_Glutathione_metabolism",0.176,0.151,0.634,0.578
"hsa04610_Complement_and_coagulation_cascades",-0.276,-0.197,0.636,0.579
"hsa04750_Inflammatory_mediator_regulation_of_TRP_channels",0.296,-3.16,0.446,0.581
"hsa04723_Retrograde_endocannabinoid_signaling",-0.4,-2.67,0.592,0.585
"hsa04024_cAMP_signaling_pathway",0.0351,-2.82,0.497,0.587
"hsa04218_Cellular_senescence",0.368,-2.47,0.483,0.595
"hsa00511_Other_glycan_degradation",-0.176,-0.122,0.653,0.596
"hsa04964_Proximal_tubule_bicarbonate_reclamation",-0.189,-0.344,0.683,0.597
"hsa04976_Bile_secretion",0.109,-1.11,0.568,0.597
"hsa00520_Amino_sugar_and_nucleotide_sugar_metabolism",-0.198,-0.105,0.675,0.609
"hsa05210_Colorectal_cancer",0.161,-3.18,0.456,0.612
"hsa00514_Other_types_of_O-glycan_biosynthesis",-0.3,-0.169,0.648,0.613
"hsa00100_Steroid_biosynthesis",-0.223,-0.0993,0.667,0.617
"hsa05132_Salmonella_infection",-0.244,-2.25,0.583,0.62
"hsa05202_Transcriptional_misregulation_in_cancer",-0.0211,-0.603,0.637,0.623
"hsa05131_Shigellosis",-0.229,-2.56,0.616,0.626
"hsa04625_C-type_lectin_receptor_signaling_pathway",0.31,-3.01,0.502,0.628
"hsa04215_Apoptosis",-0.369,-1.31,0.687,0.629
"hsa00830_Retinol_metabolism",-0.458,-0.482,0.685,0.646
"hsa05033_Nicotine_addiction",-0.937,-1.12,0.681,0.656
"hsa04919_Thyroid_hormone_signaling_pathway",0.0028,-2.6,0.452,0.656
"hsa00380_Tryptophan_metabolism",-0.367,-0.425,0.723,0.659
"hsa04962_Vasopressin-regulated_water_reabsorption",-0.438,-1.62,0.613,0.665
"hsa00030_Pentose_phosphate_pathway",-0.52,-0.499,0.716,0.671
"hsa04950_Maturity_onset_diabetes_of_the_young",-0.493,-0.42,0.746,0.673
"hsa05168_Herpes_simplex_virus_1_infection",-0.1,-1.12,0.701,0.679
"hsa00970_Aminoacyl-tRNA_biosynthesis",-0.895,-0.707,0.723,0.681
"hsa01200_Carbon_metabolism",-0.805,-0.902,0.705,0.683
"hsa01230_Biosynthesis_of_amino_acids",-0.838,-0.84,0.703,0.683
"hsa04659_Th17_cell_differentiation",0.0276,-1.99,0.697,0.685
"hsa05169_Epstein-Barr_virus_infection",0.0673,-2.75,0.628,0.686
"hsa00010_Glycolysis_/_Gluconeogenesis",-0.547,-0.72,0.73,0.687
"hsa01212_Fatty_acid_metabolism",-0.464,-0.465,0.744,0.689
"hsa05032_Morphine_addiction",-0.394,-2.11,0.604,0.692
"hsa04130_SNARE_interactions_in_vesicular_transport",-0.76,-0.612,0.752,0.694
"hsa05321_Inflammatory_bowel_disease",-0.0221,-1.26,0.705,0.696
"hsa04115_p53_signaling_pathway",-0.291,-1.2,0.698,0.7
"hsa05171_Coronavirus_disease",-1.32,-2.94,0.732,0.705
"hsa03410_Base_excision_repair",-0.694,-0.589,0.752,0.709
"hsa04120_Ubiquitin_mediated_proteolysis",-1.18,-1.15,0.72,0.711
"hsa00140_Steroid_hormone_biosynthesis",-0.688,-0.732,0.75,0.712
"hsa04925_Aldosterone_synthesis_and_secretion",-0.438,-2.96,0.688,0.712
"hsa01240_Biosynthesis_of_cofactors",-0.473,-0.372,0.764,0.718
"hsa04640_Hematopoietic_cell_lineage",-0.378,-1.01,0.732,0.726
"hsa04961_Endocrine_and_other_factor-regulated_calcium_reabsorption",-0.423,-1.94,0.636,0.728
"hsa04913_Ovarian_steroidogenesis",-0.127,-1.72,0.682,0.732
"hsa04914_Progesterone-mediated_oocyte_maturation",-0.0676,-2.99,0.596,0.737
"hsa00564_Glycerophospholipid_metabolism",-0.487,-0.496,0.768,0.738
"hsa04623_Cytosolic_DNA-sensing_pathway",-0.26,-1.35,0.729,0.738
"hsa03022_Basal_transcription_factors",-0.768,-0.621,0.776,0.744
"hsa00601_Glycosphingolipid_biosynthesis",-0.686,-0.59,0.795,0.747
"hsa04928_Parathyroid_hormone_synthesis,_secretion_and_action",-0.273,-2.85,0.672,0.747
"hsa04630_JAK-STAT_signaling_pathway",-0.391,-2.07,0.675,0.75
"hsa00051_Fructose_and_mannose_metabolism",-0.804,-0.791,0.778,0.751
"hsa04973_Carbohydrate_digestion_and_absorption",-0.269,-2,0.681,0.753
"hsa05340_Primary_immunodeficiency",-0.387,-0.739,0.733,0.758
"hsa04662_B_cell_receptor_signaling_pathway",-0.159,-2.75,0.669,0.759
"hsa00730_Thiamine_metabolism",-0.678,-0.617,0.822,0.76
"hsa04922_Glucagon_signaling_pathway",-0.318,-2.48,0.705,0.763
"hsa04010_MAPK_signaling_pathway",-0.229,-2.76,0.685,0.763
"hsa04929_GnRH_secretion",-0.339,-2.66,0.695,0.77
"hsa04144_Endocytosis",-0.687,-1.02,0.746,0.771
"hsa04930_Type_II_diabetes_mellitus",-0.527,-2.09,0.76,0.773
"hsa04722_Neurotrophin_signaling_pathway",-0.253,-3.5,0.659,0.775
"hsa04727_GABAergic_synapse",-0.358,-2.22,0.663,0.789
"hsa05167_Kaposi_sarcoma-associated_herpesvirus_infection",0.191,-3.67,0.625,0.795
"hsa00062_Fatty_acid_elongation",-0.639,-0.589,0.824,0.799
"hsa04261_Adrenergic_signaling_in_cardiomyocytes",-0.483,-3.12,0.762,0.801
"hsa00053_Ascorbate_and_aldarate_metabolism",-0.705,-0.905,0.85,0.808
"hsa05162_Measles",-0.266,-2.74,0.788,0.81
"hsa04152_AMPK_signaling_pathway",-0.642,-1.99,0.804,0.817
"hsa05030_Cocaine_addiction",-0.579,-2.33,0.716,0.817
"hsa03060_Protein_export",-1.54,-1.46,0.83,0.82
"hsa04724_Glutamatergic_synapse",-0.735,-2.92,0.76,0.824
"hsa00500_Starch_and_sucrose_metabolism",-0.865,-0.89,0.852,0.825
"hsa04022_cGMP-PKG_signaling_pathway",-0.637,-3.12,0.831,0.833
"hsa03030_DNA_replication",-1.98,-1.9,0.859,0.84
"hsa04114_Oocyte_meiosis",-1.04,-3.01,0.854,0.841
"hsa00524_Neomycin,_kanamycin_and_gentamicin_biosynthesis",-0.919,-1.03,0.871,0.844
"hsa00562_Inositol_phosphate_metabolism",-0.69,-1.51,0.794,0.847
"hsa03018_RNA_degradation",-1.53,-1.33,0.878,0.848
"hsa04110_Cell_cycle",-1.77,-2.39,0.861,0.849
"hsa05170_Human_immunodeficiency_virus_1_infection",-0.648,-4.08,0.824,0.85
"hsa05230_Central_carbon_metabolism_in_cancer",-0.672,-2.56,0.768,0.85
"hsa00790_Folate_biosynthesis",-0.993,-0.92,0.876,0.852
"hsa04713_Circadian_entrainment",-0.737,-3.47,0.794,0.852
"hsa05140_Leishmaniasis",-0.742,-2.45,0.858,0.853
"hsa04614_Renin-angiotensin_system",-1,-0.947,0.884,0.856
"hsa04380_Osteoclast_differentiation",-0.574,-2.9,0.829,0.86
"hsa00563_Glycosylphosphatidylinositol_(GPI)-anchor_biosynthesis",-1.14,-1,0.892,0.863
"hsa05231_Choline_metabolism_in_cancer",-0.432,-2.79,0.798,0.866
"hsa00040_Pentose_and_glucuronate_interconversions",-1.04,-1.15,0.891,0.868
"hsa00670_One_carbon_pool_by_folate",-1.18,-1.11,0.899,0.869
"hsa05142_Chagas_disease",-0.299,-3.37,0.769,0.87
"hsa00983_Drug_metabolism",-0.704,-0.804,0.885,0.873
"hsa05134_Legionellosis",-0.848,-1.67,0.907,0.877
"hsa04658_Th1_and_Th2_cell_differentiation",-0.717,-2.52,0.873,0.878
"hsa04720_Long-term_potentiation",-0.761,-3.95,0.767,0.878
"hsa05143_African_trypanosomiasis",-0.798,-2.12,0.88,0.883
"hsa04136_Autophagy",-1.08,-1.24,0.892,0.884
"hsa04217_Necroptosis",-0.791,-1.96,0.887,0.884
"hsa04931_Insulin_resistance",-0.598,-2.51,0.857,0.885
"hsa04927_Cortisol_synthesis_and_secretion",-1.08,-3.24,0.838,0.889
"hsa00920_Sulfur_metabolism",-1.01,-0.948,0.908,0.895
"hsa04725_Cholinergic_synapse",-0.496,-3.8,0.792,0.896
"hsa00630_Glyoxylate_and_dicarboxylate_metabolism",-1.06,-1.07,0.909,0.9
"hsa05160_Hepatitis_C",-0.474,-3.38,0.788,0.908
"hsa04068_FoxO_signaling_pathway",-0.415,-3.18,0.719,0.909
"hsa04621_NOD-like_receptor_signaling_pathway",-0.947,-2.69,0.923,0.91
"hsa04972_Pancreatic_secretion",-1.13,-2.62,0.911,0.914
"hsa00230_Purine_metabolism",-1.18,-1.56,0.918,0.915
"hsa04911_Insulin_secretion",-0.996,-3.11,0.898,0.917
"hsa04918_Thyroid_hormone_synthesis",-1.01,-3.14,0.89,0.919
"hsa03430_Mismatch_repair",-1.88,-1.85,0.932,0.922
"hsa00260_Glycine,_serine_and_threonine_metabolism",-1.2,-1.18,0.93,0.922
"hsa04920_Adipocytokine_signaling_pathway",-0.959,-2.45,0.889,0.925
"hsa04540_Gap_junction",-0.627,-3.64,0.826,0.925
"hsa03460_Fanconi_anemia_pathway",-1.5,-1.35,0.932,0.927
"hsa04620_Toll-like_receptor_signaling_pathway",-0.732,-3.49,0.86,0.931
"hsa00072_Synthesis_and_degradation_of_ketone_bodies",-1.4,-1.39,0.952,0.934
"hsa00232_Caffeine_metabolism",-1.3,-1.31,0.944,0.934
"hsa00330_Arginine_and_proline_metabolism",-1.39,-1.44,0.945,0.935
"hsa00910_Nitrogen_metabolism",-1.34,-1.3,0.95,0.939
"hsa04140_Autophagy",-1.07,-2.9,0.899,0.939
"hsa00650_Butanoate_metabolism",-1.57,-1.54,0.966,0.947
"hsa04660_T_cell_receptor_signaling_pathway",-0.507,-3.49,0.866,0.947
"hsa01040_Biosynthesis_of_unsaturated_fatty_acids",-1.24,-1.21,0.96,0.949
"hsa05152_Tuberculosis",-0.99,-3.36,0.944,0.949
"hsa00770_Pantothenate_and_CoA_biosynthesis",-1.46,-1.48,0.961,0.951
"hsa00071_Fatty_acid_degradation",-1.57,-1.68,0.97,0.966
"hsa00280_Valine,_leucine_and_isoleucine_degradation",-1.47,-1.5,0.968,0.966
"hsa00760_Nicotinate_and_nicotinamide_metabolism",-1.99,-1.9,0.979,0.969
"hsa05235_PD-L1_expression_and_PD-1_checkpoint_pathway_in_cancer",-0.776,-3.66,0.912,0.969
"hsa04664_Fc_epsilon_RI_signaling_pathway",-0.788,-3.62,0.888,0.969
"hsa04070_Phosphatidylinositol_signaling_system",-1.39,-2.93,0.945,0.973
"hsa05161_Hepatitis_B",-0.844,-4.6,0.911,0.977
"hsa05031_Amphetamine_addiction",-1.65,-3.96,0.944,0.981
"hsa00740_Riboflavin_metabolism",-1.52,-1.5,0.981,0.984
"hsa04666_Fc_gamma_R-mediated_phagocytosis",-1.12,-2.73,0.97,0.984
"hsa04360_Axon_guidance",-2.01,-3.41,0.961,0.984
"hsa04912_GnRH_signaling_pathway",-1.08,-4.83,0.931,0.987
"hsa05322_Systemic_lupus_erythematosus",-2.31,-2.74,0.985,0.988
"hsa00532_Glycosaminoglycan_biosynthesis",-1.74,-1.64,0.989,0.992
"hsa04960_Aldosterone-regulated_sodium_reabsorption",-1.46,-3,0.967,0.992
"hsa03450_Non-homologous_end-joining",-2.03,-1.97,0.997,0.993
"hsa04728_Dopaminergic_synapse",-1.88,-4.77,0.975,0.994
"hsa04613_Neutrophil_extracellular_trap_formation",-2.27,-4.05,0.995,0.996
"hsa05164_Influenza_A",-1.88,-4.25,0.981,0.996
"hsa05133_Pertussis",-1.67,-3.87,0.974,0.996
"hsa05135_Yersinia_infection",-1.9,-4.53,0.974,0.996
"hsa05034_Alcoholism",-2.29,-4.37,0.99,0.997
"hsa04622_RIG-I-like_receptor_signaling_pathway",-2.21,-3.8,0.991,0.999
