"GSE3678.GENE.SET","GSE3678.MEAN.ABS.T0","GSE3678.PADOG0","GSE3678.P.MEAN.ABS.T","GSE3678.PVAL"
"hsa05204_Chemical_carcinogenesis",1.47,1.37,0.126,0.0787
"hsa00980_Metabolism_of_xenobiotics_by_cytochrome_P450",1.59,1.46,0.11,0.0787
"hsa04971_Gastric_acid_secretion",1.91,-0.56,0.063,0.0787
"hsa05218_Melanoma",1.04,-0.765,0.291,0.0866
"hsa05205_Proteoglycans_in_cancer",2.96,0.741,0.181,0.0866
"hsa05167_Kaposi_sarcoma-associated_herpesvirus_infection",1.58,-1.51,0.15,0.0866
"hsa00830_Retinol_metabolism",1.32,1.37,0.118,0.0866
"hsa04360_Axon_guidance",1.88,0.945,0.102,0.0866
"hsa01521_EGFR_tyrosine_kinase_inhibitor_resistance",1.19,-0.812,0.394,0.0945
"hsa04960_Aldosterone-regulated_sodium_reabsorption",1.67,0.503,0.268,0.0945
"hsa04916_Melanogenesis",1.04,-1.33,0.252,0.0945
"hsa04350_TGF-beta_signaling_pathway",1.68,1.27,0.189,0.0945
"hsa05216_Thyroid_cancer",1.86,0.442,0.181,0.0945
"hsa05144_Malaria",2.88,2.32,0.142,0.0945
"hsa04725_Cholinergic_synapse",1.1,-1.91,0.213,0.102
"hsa04915_Estrogen_signaling_pathway",1.58,-1.53,0.181,0.102
"hsa04145_Phagosome",3.1,2.44,0.165,0.102
"hsa04921_Oxytocin_signaling_pathway",1.76,-1.18,0.165,0.102
"hsa00740_Riboflavin_metabolism",1.78,1.83,0.118,0.102
"hsa04670_Leukocyte_transendothelial_migration",1.71,0.531,0.22,0.11
"hsa04022_cGMP-PKG_signaling_pathway",1.1,-0.921,0.197,0.11
"hsa05214_Glioma",0.693,-1.66,0.449,0.118
"hsa04012_ErbB_signaling_pathway",1.08,-1.02,0.378,0.118
"hsa04152_AMPK_signaling_pathway",1.52,0.545,0.244,0.118
"hsa04390_Hippo_signaling_pathway",1.82,1.15,0.228,0.118
"hsa05206_MicroRNAs_in_cancer",1.85,0.416,0.228,0.118
"hsa05412_Arrhythmogenic_right_ventricular_cardiomyopathy",2.07,1.62,0.197,0.118
"hsa04020_Calcium_signaling_pathway",1.19,-0.426,0.134,0.118
"hsa00071_Fatty_acid_degradation",1.9,1.76,0.205,0.126
"hsa04614_Renin-angiotensin_system",1.53,1.55,0.205,0.126
"hsa01524_Platinum_drug_resistance",1.89,0.527,0.205,0.126
"hsa05166_Human_T-cell_leukemia_virus_1_infection",2.77,0.023,0.205,0.126
"hsa04142_Lysosome",2.39,2.57,0.228,0.134
"hsa05140_Leishmaniasis",2.29,0.198,0.197,0.134
"hsa00140_Steroid_hormone_biosynthesis",1.22,1.26,0.165,0.134
"hsa05161_Hepatitis_B",1.11,-1.89,0.378,0.142
"hsa05146_Amoebiasis",1.55,0.0322,0.283,0.142
"hsa04911_Insulin_secretion",0.934,-0.901,0.205,0.142
"hsa05323_Rheumatoid_arthritis",2.71,1.4,0.189,0.142
"hsa00340_Histidine_metabolism",1.45,1.37,0.189,0.142
"hsa04750_Inflammatory_mediator_regulation_of_TRP_channels",1.25,-1.56,0.346,0.15
"hsa05152_Tuberculosis",1.5,-0.392,0.291,0.15
"hsa05202_Transcriptional_misregulation_in_cancer",1.68,1.31,0.236,0.157
"hsa04934_Cushing_syndrome",1.6,-0.822,0.205,0.157
"hsa00480_Glutathione_metabolism",2.31,2.28,0.189,0.157
"hsa05332_Graft-versus-host_disease",2.6,1.56,0.228,0.165
"hsa05330_Allograft_rejection",2.56,1.57,0.197,0.165
"hsa05320_Autoimmune_thyroid_disease",2.22,1.4,0.197,0.165
"hsa05171_Coronavirus_disease",0.742,-0.805,0.165,0.165
"hsa04014_Ras_signaling_pathway",0.834,-0.879,0.425,0.173
"hsa05217_Basal_cell_carcinoma",1.69,0.974,0.252,0.173
"hsa00524_Neomycin,_kanamycin_and_gentamicin_biosynthesis",1.4,1.21,0.173,0.173
"hsa05032_Morphine_addiction",1.28,-0.101,0.173,0.173
"hsa04310_Wnt_signaling_pathway",1.83,0.375,0.22,0.189
"hsa04940_Type_I_diabetes_mellitus",1.98,1.02,0.244,0.197
"hsa00561_Glycerolipid_metabolism",1.83,1.86,0.236,0.205
"hsa04071_Sphingolipid_signaling_pathway",1.09,-1.07,0.37,0.213
"hsa04917_Prolactin_signaling_pathway",0.885,-1.36,0.307,0.213
"hsa05145_Toxoplasmosis",1.67,-0.582,0.299,0.213
"hsa04612_Antigen_processing_and_presentation",2.73,2.07,0.276,0.213
"hsa05213_Endometrial_cancer",0.874,-1.16,0.535,0.22
"hsa04927_Cortisol_synthesis_and_secretion",1.16,-1.05,0.22,0.22
"hsa05163_Human_cytomegalovirus_infection",0.758,-2.81,0.433,0.228
"hsa04218_Cellular_senescence",1.22,-1.04,0.307,0.228
"hsa05100_Bacterial_invasion_of_epithelial_cells",1.16,0.483,0.291,0.228
"hsa05417_Lipid_and_atherosclerosis",1.08,-1.77,0.331,0.236
"hsa04912_GnRH_signaling_pathway",0.987,-2.36,0.299,0.236
"hsa04978_Mineral_absorption",1.34,1.41,0.268,0.236
"hsa04929_GnRH_secretion",0.845,-1.12,0.276,0.244
"hsa04611_Platelet_activation",1.49,-0.965,0.213,0.244
"hsa04072_Phospholipase_D_signaling_pathway",1.12,-0.625,0.394,0.252
"hsa00620_Pyruvate_metabolism",1.48,1.35,0.331,0.252
"hsa05169_Epstein-Barr_virus_infection",2.18,-0.26,0.299,0.252
"hsa00260_Glycine,_serine_and_threonine_metabolism",1.2,1.24,0.283,0.252
"hsa01522_Endocrine_resistance",1.07,-2.27,0.339,0.26
"hsa04330_Notch_signaling_pathway",1.16,1.2,0.291,0.26
"hsa00280_Valine,_leucine_and_isoleucine_degradation",1.6,1.51,0.299,0.268
"hsa00512_Mucin_type_O-glycan_biosynthesis",1.31,1.45,0.276,0.276
"hsa04727_GABAergic_synapse",0.874,-0.506,0.283,0.283
"hsa00562_Inositol_phosphate_metabolism",0.871,0.604,0.386,0.291
"hsa04658_Th1_and_Th2_cell_differentiation",1.55,-0.503,0.244,0.291
"hsa01040_Biosynthesis_of_unsaturated_fatty_acids",1.15,1.2,0.37,0.307
"hsa00564_Glycerophospholipid_metabolism",1.13,1.18,0.362,0.315
"hsa04730_Long-term_depression",0.915,-1.32,0.22,0.315
"hsa05310_Asthma",1.24,0.496,0.307,0.323
"hsa04910_Insulin_signaling_pathway",0.191,-1.45,0.567,0.331
"hsa05231_Choline_metabolism_in_cancer",0.886,-1.02,0.425,0.331
"hsa04710_Circadian_rhythm",1.06,1.03,0.394,0.331
"hsa04140_Autophagy",1.3,-0.347,0.315,0.331
"hsa00750_Vitamin_B6_metabolism",1.32,1.31,0.409,0.346
"hsa00380_Tryptophan_metabolism",1.41,1.28,0.394,0.346
"hsa05170_Human_immunodeficiency_virus_1_infection",0.7,-2.26,0.394,0.346
"hsa05219_Bladder_cancer",0.905,-0.476,0.496,0.354
"hsa05131_Shigellosis",1.22,-0.837,0.457,0.362
"hsa00053_Ascorbate_and_aldarate_metabolism",0.806,0.676,0.425,0.362
"hsa04640_Hematopoietic_cell_lineage",1.69,1.08,0.417,0.37
"hsa00532_Glycosaminoglycan_biosynthesis",1.21,1.35,0.402,0.37
"hsa04720_Long-term_potentiation",0.182,-2.29,0.402,0.37
"hsa04213_Longevity_regulating_pathway",0.592,-1.09,0.52,0.378
"hsa04211_Longevity_regulating_pathway",0.595,-1.25,0.52,0.378
"hsa04540_Gap_junction",1.13,-1.53,0.299,0.378
"hsa05030_Cocaine_addiction",1.14,-0.567,0.362,0.394
"hsa04060_Cytokine-cytokine_receptor_interaction",0.545,0.363,0.465,0.402
"hsa05031_Amphetamine_addiction",0.518,-1.54,0.323,0.402
"hsa05133_Pertussis",1.3,-0.789,0.488,0.409
"hsa04913_Ovarian_steroidogenesis",0.585,-0.644,0.409,0.409
"hsa04966_Collecting_duct_acid_secretion",0.728,0.679,0.472,0.425
"hsa04726_Serotonergic_synapse",0.533,-1.47,0.315,0.425
"hsa04261_Adrenergic_signaling_in_cardiomyocytes",0.656,-1.6,0.528,0.433
"hsa00670_One_carbon_pool_by_folate",0.842,0.904,0.465,0.433
"hsa00604_Glycosphingolipid_biosynthesis",0.714,0.794,0.465,0.433
"hsa01212_Fatty_acid_metabolism",0.823,0.823,0.457,0.441
"hsa03060_Protein_export",0.677,0.753,0.425,0.441
"hsa04062_Chemokine_signaling_pathway",0.493,-1.48,0.724,0.457
"hsa04215_Apoptosis",1.33,0.0255,0.441,0.457
"hsa04024_cAMP_signaling_pathway",0.146,-2.11,0.441,0.457
"hsa00630_Glyoxylate_and_dicarboxylate_metabolism",0.714,0.716,0.425,0.457
"hsa05164_Influenza_A",0.613,-1.18,0.528,0.465
"hsa04724_Glutamatergic_synapse",0.509,-1.66,0.346,0.465
"hsa00565_Ether_lipid_metabolism",0.902,0.852,0.488,0.472
"hsa04650_Natural_killer_cell_mediated_cytotoxicity",0.0956,-1.31,0.575,0.48
"hsa05415_Diabetic_cardiomyopathy",0.461,-1.05,0.535,0.488
"hsa05230_Central_carbon_metabolism_in_cancer",0.337,-0.855,0.669,0.496
"hsa04070_Phosphatidylinositol_signaling_system",0.634,-0.595,0.496,0.496
"hsa00440_Phosphonate_and_phosphinate_metabolism",0.322,0.349,0.402,0.496
"hsa05132_Salmonella_infection",0.867,-0.733,0.567,0.52
"hsa00450_Selenocompound_metabolism",0.897,0.966,0.488,0.52
"hsa00770_Pantothenate_and_CoA_biosynthesis",0.443,0.42,0.488,0.52
"hsa00983_Drug_metabolism",0.287,0.244,0.472,0.52
"hsa04620_Toll-like_receptor_signaling_pathway",0.683,-1.63,0.543,0.528
"hsa04722_Neurotrophin_signaling_pathway",-0.0832,-2.38,0.677,0.535
"hsa00270_Cysteine_and_methionine_metabolism",0.645,0.708,0.535,0.535
"hsa00072_Synthesis_and_degradation_of_ketone_bodies",0.216,0.211,0.425,0.535
"hsa04340_Hedgehog_signaling_pathway",0.767,0.00892,0.409,0.535
"hsa05120_Epithelial_cell_signaling_in_Helicobacter_pylori_infection",0.689,-0.785,0.567,0.551
"hsa05414_Dilated_cardiomyopathy",0.571,-0.662,0.559,0.575
"hsa04666_Fc_gamma_R-mediated_phagocytosis",0.211,-0.778,0.693,0.583
"hsa00410_beta-Alanine_metabolism",0.423,0.321,0.52,0.583
"hsa04668_TNF_signaling_pathway",0.889,-1.32,0.638,0.591
"hsa04630_JAK-STAT_signaling_pathway",-0.061,-1.17,0.575,0.591
"hsa05321_Inflammatory_bowel_disease",0.8,-0.44,0.528,0.591
"hsa00250_Alanine,_aspartate_and_glutamate_metabolism",0.23,0.271,0.512,0.591
"hsa04728_Dopaminergic_synapse",0.118,-2.61,0.402,0.591
"hsa04972_Pancreatic_secretion",0.35,-1.08,0.48,0.606
"hsa05135_Yersinia_infection",0.313,-1.72,0.654,0.622
"hsa00310_Lysine_degradation",0.354,0.391,0.583,0.63
"hsa04977_Vitamin_digestion_and_absorption",-0.0768,0.00148,0.551,0.63
"hsa00062_Fatty_acid_elongation",0.246,0.306,0.638,0.638
"hsa05160_Hepatitis_C",-0.158,-2.05,0.772,0.646
"hsa04664_Fc_epsilon_RI_signaling_pathway",-0.0306,-1.99,0.724,0.646
"hsa04932_Non-alcoholic_fatty_liver_disease",-0.00533,-1.77,0.646,0.646
"hsa00330_Arginine_and_proline_metabolism",0.426,0.414,0.614,0.646
"hsa01200_Carbon_metabolism",0.281,0.228,0.567,0.646
"hsa04137_Mitophagy",0.479,-0.481,0.52,0.646
"hsa02010_ABC_transporters",0.319,0.428,0.606,0.654
"hsa04660_T_cell_receptor_signaling_pathway",0.141,-2.12,0.63,0.661
"hsa04970_Salivary_secretion",0.142,-1.76,0.512,0.669
"hsa04672_Intestinal_immune_network_for_IgA_production",0.387,-0.244,0.575,0.685
"hsa04964_Proximal_tubule_bicarbonate_reclamation",0.073,-0.0458,0.63,0.693
"hsa00910_Nitrogen_metabolism",0.15,0.197,0.575,0.693
"hsa05235_PD-L1_expression_and_PD-1_checkpoint_pathway_in_cancer",0.486,-1.83,0.748,0.701
"hsa00010_Glycolysis_/_Gluconeogenesis",0.12,-0.065,0.646,0.709
"hsa00020_Citrate_cycle_(TCA_cycle)",-0.0809,-0.101,0.646,0.709
"hsa05012_Parkinson_disease",-0.552,-2.08,0.583,0.709
"hsa00240_Pyrimidine_metabolism",0.2,0.304,0.606,0.717
"hsa04723_Retrograde_endocannabinoid_signaling",-0.355,-2.52,0.52,0.724
"hsa00514_Other_types_of_O-glycan_biosynthesis",-0.0471,0.0774,0.638,0.732
"hsa00360_Phenylalanine_metabolism",-0.211,-0.257,0.661,0.74
"hsa00900_Terpenoid_backbone_biosynthesis",-0.283,-0.231,0.646,0.74
"hsa00590_Arachidonic_acid_metabolism",-0.0443,-0.109,0.63,0.74
"hsa05410_Hypertrophic_cardiomyopathy",-0.0648,-0.624,0.685,0.748
"hsa04714_Thermogenesis",-1.19,-2.28,0.724,0.756
"hsa00190_Oxidative_phosphorylation",-1.73,-1.99,0.709,0.756
"hsa04061_Viral_protein_interaction_with_cytokine_and_cytokine_receptor",0.44,0.294,0.732,0.764
"hsa04216_Ferroptosis",0.348,0.284,0.685,0.764
"hsa03010_Ribosome",-1.83,-1.65,0.575,0.764
"hsa00400_Phenylalanine,_tyrosine_and_tryptophan_biosynthesis",-0.215,-0.251,0.614,0.772
"hsa00730_Thiamine_metabolism",-0.655,-0.608,0.654,0.78
"hsa00640_Propanoate_metabolism",-0.369,-0.415,0.756,0.787
"hsa04141_Protein_processing_in_endoplasmic_reticulum",0.311,-0.0215,0.614,0.787
"hsa05110_Vibrio_cholerae_infection",0.339,-0.64,0.598,0.787
"hsa04550_Signaling_pathways_regulating_pluripotency_of_stem_cells",-0.589,-1.56,0.811,0.795
"hsa04392_Hippo_signaling_pathway",0.0397,0.114,0.803,0.803
"hsa04925_Aldosterone_synthesis_and_secretion",-0.288,-2.54,0.63,0.803
"hsa00603_Glycosphingolipid_biosynthesis",0.0396,0.0791,0.685,0.811
"hsa05020_Prion_disease",-0.779,-2.55,0.764,0.819
"hsa05162_Measles",0.122,-2.13,0.677,0.819
"hsa00592_alpha-Linolenic_acid_metabolism",0.0192,-0.159,0.764,0.827
"hsa00534_Glycosaminoglycan_biosynthesis",-0.185,-0.0745,0.732,0.827
"hsa04976_Bile_secretion",-0.448,-1.32,0.717,0.827
"hsa04064_NF-kappa_B_signaling_pathway",-0.0596,-1.03,0.835,0.835
"hsa00120_Primary_bile_acid_biosynthesis",-0.0262,0.0447,0.74,0.835
"hsa00051_Fructose_and_mannose_metabolism",-0.216,-0.257,0.74,0.835
"hsa04922_Glucagon_signaling_pathway",-0.522,-2.3,0.74,0.835
"hsa00471_D-Glutamine_and_D-glutamate_metabolism",-0.217,-0.221,0.724,0.835
"hsa04110_Cell_cycle",-0.507,-1.06,0.811,0.843
"hsa05322_Systemic_lupus_erythematosus",-0.0571,-0.465,0.78,0.843
"hsa05203_Viral_carcinogenesis",-0.228,-1.79,0.78,0.843
"hsa04217_Necroptosis",0.0175,-0.954,0.772,0.843
"hsa00601_Glycosphingolipid_biosynthesis",-0.568,-0.482,0.764,0.843
"hsa05211_Renal_cell_carcinoma",-0.574,-2.09,0.85,0.85
"hsa04150_mTOR_signaling_pathway",-0.743,-1.91,0.835,0.85
"hsa05033_Nicotine_addiction",-1.03,-1.1,0.764,0.85
"hsa00513_Various_types_of_N-glycan_biosynthesis",-0.159,-0.0785,0.756,0.85
"hsa00232_Caffeine_metabolism",-0.559,-0.562,0.724,0.85
"hsa00052_Galactose_metabolism",-0.238,-0.308,0.764,0.858
"hsa00500_Starch_and_sucrose_metabolism",-0.165,-0.191,0.748,0.858
"hsa00600_Sphingolipid_metabolism",-0.0484,0.049,0.835,0.866
"hsa05168_Herpes_simplex_virus_1_infection",-2.05,-2.9,0.803,0.866
"hsa00760_Nicotinate_and_nicotinamide_metabolism",-0.336,-0.286,0.787,0.866
"hsa01240_Biosynthesis_of_cofactors",-0.406,-0.321,0.787,0.866
"hsa04122_Sulfur_relay_system",-0.494,-0.458,0.756,0.866
"hsa01230_Biosynthesis_of_amino_acids",-0.475,-0.483,0.756,0.866
"hsa00591_Linoleic_acid_metabolism",-0.62,-0.786,0.74,0.866
"hsa00533_Glycosaminoglycan_biosynthesis",-0.709,-0.661,0.811,0.874
"hsa00531_Glycosaminoglycan_degradation",-0.383,-0.325,0.795,0.874
"hsa05022_Pathways_of_neurodegeneration",-2.03,-3.72,0.819,0.882
"hsa00430_Taurine_and_hypotaurine_metabolism",-0.546,-0.504,0.811,0.89
"hsa04657_IL-17_signaling_pathway",0.187,-1.47,0.764,0.89
"hsa04914_Progesterone-mediated_oocyte_maturation",-0.288,-2.43,0.787,0.898
"hsa05134_Legionellosis",-0.00434,-0.816,0.858,0.906
"hsa04975_Fat_digestion_and_absorption",-0.845,-0.907,0.843,0.906
"hsa04114_Oocyte_meiosis",-0.951,-2.6,0.843,0.906
"hsa01210_2-Oxocarboxylic_acid_metabolism",-0.156,-0.174,0.811,0.906
"hsa00650_Butanoate_metabolism",-1.07,-1.07,0.756,0.913
"hsa04973_Carbohydrate_digestion_and_absorption",-0.752,-1.9,0.843,0.921
"hsa00040_Pentose_and_glucuronate_interconversions",-1.02,-1.02,0.913,0.929
"hsa00220_Arginine_biosynthesis",-0.612,-0.654,0.866,0.929
"hsa03022_Basal_transcription_factors",-1.14,-1.03,0.866,0.929
"hsa00130_Ubiquinone_and_other_terpenoid-quinone_biosynthesis",-1.27,-1.24,0.835,0.929
"hsa04623_Cytosolic_DNA-sensing_pathway",-0.85,-1.53,0.906,0.937
"hsa03008_Ribosome_biogenesis_in_eukaryotes",-1.83,-1.7,0.906,0.937
"hsa04622_RIG-I-like_receptor_signaling_pathway",-0.925,-2.17,0.874,0.937
"hsa00100_Steroid_biosynthesis",-0.872,-0.799,0.858,0.937
"hsa00511_Other_glycan_degradation",-0.496,-0.44,0.811,0.937
"hsa00030_Pentose_phosphate_pathway",-0.6,-0.58,0.795,0.937
"hsa04136_Autophagy",-1.16,-1.23,0.913,0.945
"hsa00510_N-Glycan_biosynthesis",-0.642,-0.537,0.85,0.945
"hsa03420_Nucleotide_excision_repair",-0.362,-0.327,0.835,0.945
"hsa04621_NOD-like_receptor_signaling_pathway",-0.0925,-2,0.819,0.945
"hsa04662_B_cell_receptor_signaling_pathway",-0.645,-2.52,0.906,0.953
"hsa04260_Cardiac_muscle_contraction",-0.901,-1.25,0.874,0.953
"hsa04742_Taste_transduction",-1.81,-2.6,0.874,0.953
"hsa03440_Homologous_recombination",-1.18,-1.11,0.843,0.953
"hsa04370_VEGF_signaling_pathway",-0.625,-2.44,0.961,0.961
"hsa03018_RNA_degradation",-2.12,-2,0.929,0.961
"hsa00061_Fatty_acid_biosynthesis",-0.829,-0.841,0.898,0.961
"hsa00563_Glycosylphosphatidylinositol_(GPI)-anchor_biosynthesis",-1.27,-1.18,0.882,0.961
"hsa03015_mRNA_surveillance_pathway",-1.54,-1.53,0.882,0.961
"hsa00860_Porphyrin_and_chlorophyll_metabolism",-1.7,-1.68,0.85,0.961
"hsa04144_Endocytosis",-1.15,-1.28,0.937,0.969
"hsa03030_DNA_replication",-1.4,-1.34,0.921,0.969
"hsa04950_Maturity_onset_diabetes_of_the_young",-2.13,-2.08,0.89,0.969
"hsa00790_Folate_biosynthesis",-0.913,-0.854,0.874,0.969
"hsa04961_Endocrine_and_other_factor-regulated_calcium_reabsorption",-0.445,-1.64,0.843,0.969
"hsa04080_Neuroactive_ligand-receptor_interaction",-2.9,-2.81,0.811,0.969
"hsa05340_Primary_immunodeficiency",-1.64,-1.71,0.929,0.976
"hsa05014_Amyotrophic_lateral_sclerosis",-3.04,-3.78,0.882,0.976
"hsa05010_Alzheimer_disease",-1.76,-3.59,0.866,0.976
"hsa04613_Neutrophil_extracellular_trap_formation",-1.57,-2.73,0.953,0.984
"hsa00520_Amino_sugar_and_nucleotide_sugar_metabolism",-0.288,-0.257,0.937,0.984
"hsa04721_Synaptic_vesicle_cycle",-0.858,-0.855,0.937,0.984
"hsa03050_Proteasome",-1.35,-1.39,0.937,0.984
"hsa05034_Alcoholism",-1.05,-2.36,0.937,0.984
"hsa04744_Phototransduction",-2.11,-2.4,0.937,0.984
"hsa03460_Fanconi_anemia_pathway",-1.51,-1.42,0.921,0.984
"hsa03020_RNA_polymerase",-2.26,-2.2,0.921,0.984
"hsa04740_Olfactory_transduction",-4.05,-4.46,0.921,0.984
"hsa03450_Non-homologous_end-joining",-1.28,-1.23,0.906,0.984
"hsa03013_RNA_transport",-2.16,-1.98,0.992,0.992
"hsa03040_Spliceosome",-3.65,-3.52,0.992,0.992
"hsa04066_HIF-1_signaling_pathway",-1.43,-2.81,0.961,0.992
"hsa00515_Mannose_type_O-glycan_biosynthesis",-1.41,-1.34,0.945,0.992
"hsa04120_Ubiquitin_mediated_proteolysis",-2.07,-2.04,0.913,0.992
"hsa05017_Spinocerebellar_ataxia",-1.28,-2.67,0.984,1
"hsa03410_Base_excision_repair",-1.19,-1.12,0.969,1
"hsa04962_Vasopressin-regulated_water_reabsorption",-1.47,-2.35,0.945,1
"hsa03430_Mismatch_repair",-1.3,-1.28,0.937,1
"hsa00970_Aminoacyl-tRNA_biosynthesis",-1.47,-1.35,0.937,1
"hsa05016_Huntington_disease",-2.77,-3.73,0.937,1
"hsa04146_Peroxisome",-1.02,-0.929,0.906,1
"hsa04130_SNARE_interactions_in_vesicular_transport",-0.948,-0.856,0.89,1
