"GSE32676.GENE.SET","GSE32676.MEAN.ABS.T0","GSE32676.PADOG0","GSE32676.P.MEAN.ABS.T","GSE32676.PVAL"
"hsa00900_Terpenoid_backbone_biosynthesis",0.662,0.752,0.555,0.476
"hsa04928_Parathyroid_hormone_synthesis,_secretion_and_action",0.786,-1.91,0.48,0.476
"hsa00340_Histidine_metabolism",0.612,0.604,0.592,0.479
"hsa04144_Endocytosis",1.12,0.943,0.602,0.48
"hsa00100_Steroid_biosynthesis",0.467,0.603,0.555,0.481
"hsa04020_Calcium_signaling_pathway",-0.45,-2.32,0.414,0.487
"hsa00982_Drug_metabolism",0.495,0.28,0.549,0.489
"hsa04961_Endocrine_and_other_factor-regulated_calcium_reabsorption",0.3,-0.92,0.602,0.493
"hsa04915_Estrogen_signaling_pathway",0.668,-2.93,0.407,0.494
"hsa00603_Glycosphingolipid_biosynthesis",0.466,0.54,0.597,0.495
"hsa00533_Glycosaminoglycan_biosynthesis",0.531,0.589,0.588,0.497
"hsa00400_Phenylalanine,_tyrosine_and_tryptophan_biosynthesis",0.0681,0.00504,0.555,0.497
"hsa00053_Ascorbate_and_aldarate_metabolism",0.407,0.173,0.538,0.498
"hsa05323_Rheumatoid_arthritis",0.955,-0.53,0.492,0.545
"hsa03440_Homologous_recombination",0.485,0.564,0.611,0.546
"hsa03410_Base_excision_repair",0.435,0.562,0.629,0.549
"hsa04614_Renin-angiotensin_system",0.26,0.308,0.621,0.551
"hsa00561_Glycerolipid_metabolism",0.106,0.153,0.61,0.551
"hsa00410_beta-Alanine_metabolism",0.522,0.439,0.66,0.559
"hsa04911_Insulin_secretion",0.257,-1.92,0.557,0.559
"hsa04975_Fat_digestion_and_absorption",0.192,0.108,0.59,0.565
"hsa04979_Cholesterol_metabolism",-0.00408,0.0157,0.618,0.567
"hsa05120_Epithelial_cell_signaling_in_Helicobacter_pylori_infection",0.961,-1.09,0.522,0.567
"hsa04919_Thyroid_hormone_signaling_pathway",1.08,-1.78,0.41,0.571
"hsa00120_Primary_bile_acid_biosynthesis",-0.0485,0.0403,0.623,0.577
"hsa00600_Sphingolipid_metabolism",0.511,0.628,0.68,0.585
"hsa04371_Apelin_signaling_pathway",0.998,-2,0.509,0.587
"hsa00071_Fatty_acid_degradation",0.115,-0.00675,0.643,0.599
"hsa03320_PPAR_signaling_pathway",-0.036,-0.0723,0.623,0.604
"hsa00983_Drug_metabolism",0.242,0.143,0.655,0.609
"hsa05231_Choline_metabolism_in_cancer",0.446,-2.12,0.528,0.621
"hsa01040_Biosynthesis_of_unsaturated_fatty_acids",0.0688,0.121,0.674,0.623
"hsa00350_Tyrosine_metabolism",-0.471,-0.496,0.633,0.63
"hsa04623_Cytosolic_DNA-sensing_pathway",0.193,-1.34,0.402,0.632
"hsa00604_Glycosphingolipid_biosynthesis",0.0605,0.142,0.685,0.635
"hsa00330_Arginine_and_proline_metabolism",0.268,0.304,0.696,0.638
"hsa04929_GnRH_secretion",0.875,-2.06,0.422,0.638
"hsa04070_Phosphatidylinositol_signaling_system",0.661,-1.34,0.507,0.639
"hsa04750_Inflammatory_mediator_regulation_of_TRP_channels",0.97,-2.96,0.352,0.644
"hsa04145_Phagosome",0.282,-0.507,0.629,0.649
"hsa00760_Nicotinate_and_nicotinamide_metabolism",0.0605,0.153,0.704,0.657
"hsa04977_Vitamin_digestion_and_absorption",0.08,0.185,0.701,0.657
"hsa01212_Fatty_acid_metabolism",0.0348,0.003,0.688,0.658
"hsa04927_Cortisol_synthesis_and_secretion",-0.588,-2.83,0.517,0.664
"hsa00500_Starch_and_sucrose_metabolism",0.175,0.103,0.69,0.669
"hsa05218_Melanoma",0.689,-2.14,0.495,0.671
"hsa00010_Glycolysis_/_Gluconeogenesis",-0.307,-0.512,0.675,0.674
"hsa00052_Galactose_metabolism",-0.0964,-0.235,0.691,0.68
"hsa04974_Protein_digestion_and_absorption",-0.392,-0.384,0.677,0.681
"hsa05032_Morphine_addiction",-0.717,-2.01,0.662,0.683
"hsa01240_Biosynthesis_of_cofactors",0.417,0.511,0.735,0.685
"hsa05204_Chemical_carcinogenesis",-0.367,-0.536,0.674,0.689
"hsa04622_RIG-I-like_receptor_signaling_pathway",-0.571,-2.14,0.599,0.691
"hsa00650_Butanoate_metabolism",0.0111,-0.00191,0.722,0.693
"hsa03060_Protein_export",-0.29,-0.187,0.716,0.7
"hsa01522_Endocrine_resistance",0.889,-3.07,0.552,0.7
"hsa04950_Maturity_onset_diabetes_of_the_young",-0.826,-0.817,0.67,0.703
"hsa03030_DNA_replication",-0.605,-0.51,0.688,0.71
"hsa00450_Selenocompound_metabolism",0.0881,0.183,0.75,0.716
"hsa03008_Ribosome_biogenesis_in_eukaryotes",-0.126,0.0921,0.745,0.721
"hsa04350_TGF-beta_signaling_pathway",0.221,-0.394,0.744,0.733
"hsa03430_Mismatch_repair",-0.334,-0.286,0.729,0.739
"hsa04725_Cholinergic_synapse",0.112,-3.48,0.481,0.74
"hsa04962_Vasopressin-regulated_water_reabsorption",-0.293,-1.15,0.775,0.749
"hsa00230_Purine_metabolism",-0.289,-0.643,0.754,0.755
"hsa03050_Proteasome",-0.661,-0.828,0.738,0.759
"hsa04340_Hedgehog_signaling_pathway",0.227,-0.581,0.672,0.759
"hsa04713_Circadian_entrainment",0.084,-2.74,0.676,0.76
"hsa00030_Pentose_phosphate_pathway",-0.557,-0.565,0.745,0.764
"hsa04924_Renin_secretion",-0.213,-2.41,0.691,0.768
"hsa04926_Relaxin_signaling_pathway",0.418,-3.39,0.66,0.768
"hsa03020_RNA_polymerase",-0.221,-0.0863,0.784,0.77
"hsa05415_Diabetic_cardiomyopathy",-0.04,-2.36,0.658,0.771
"hsa03450_Non-homologous_end-joining",-0.345,-0.259,0.786,0.779
"hsa00250_Alanine,_aspartate_and_glutamate_metabolism",0.0307,0.0655,0.821,0.782
"hsa05214_Glioma",0.798,-2.89,0.646,0.786
"hsa04080_Neuroactive_ligand-receptor_interaction",-4.81,-4.67,0.472,0.787
"hsa05010_Alzheimer_disease",-0.131,-3.14,0.662,0.792
"hsa04211_Longevity_regulating_pathway",0.522,-2.18,0.741,0.794
"hsa04934_Cushing_syndrome",-0.502,-3.13,0.63,0.798
"hsa05034_Alcoholism",-1.59,-3.14,0.759,0.801
"hsa05017_Spinocerebellar_ataxia",-0.447,-2.33,0.677,0.802
"hsa03013_RNA_transport",-0.296,-0.0258,0.805,0.804
"hsa00562_Inositol_phosphate_metabolism",0.0422,-0.671,0.765,0.806
"hsa04914_Progesterone-mediated_oocyte_maturation",-0.12,-2.65,0.765,0.818
"hsa00970_Aminoacyl-tRNA_biosynthesis",-0.254,-0.0575,0.832,0.827
"hsa04213_Longevity_regulating_pathway",0.438,-2.13,0.724,0.832
"hsa04976_Bile_secretion",-0.903,-1.83,0.794,0.833
"hsa04260_Cardiac_muscle_contraction",-1.63,-2.03,0.718,0.833
"hsa04130_SNARE_interactions_in_vesicular_transport",-0.286,-0.147,0.835,0.842
"hsa04740_Olfactory_transduction",-5.51,-6.24,0.291,0.848
"hsa04728_Dopaminergic_synapse",-0.011,-3.04,0.747,0.852
"hsa00670_One_carbon_pool_by_folate",-0.428,-0.359,0.851,0.853
"hsa04964_Proximal_tubule_bicarbonate_reclamation",-0.832,-1.06,0.813,0.859
"hsa00592_alpha-Linolenic_acid_metabolism",-1.02,-1.19,0.832,0.862
"hsa04721_Synaptic_vesicle_cycle",-1.4,-1.42,0.811,0.862
"hsa05310_Asthma",-1.45,-2.05,0.747,0.862
"hsa04072_Phospholipase_D_signaling_pathway",-0.363,-2.76,0.785,0.866
"hsa04913_Ovarian_steroidogenesis",-1.8,-2.96,0.747,0.866
"hsa04114_Oocyte_meiosis",-0.562,-2.74,0.786,0.869
"hsa00130_Ubiquinone_and_other_terpenoid-quinone_biosynthesis",-1.1,-1.05,0.818,0.873
"hsa04714_Thermogenesis",-0.92,-2.28,0.872,0.874
"hsa05020_Prion_disease",-0.815,-3.44,0.733,0.875
"hsa00062_Fatty_acid_elongation",-0.773,-0.722,0.857,0.879
"hsa00532_Glycosaminoglycan_biosynthesis",-0.618,-0.496,0.875,0.88
"hsa05012_Parkinson_disease",-1.21,-2.78,0.843,0.881
"hsa01210_2-Oxocarboxylic_acid_metabolism",-0.612,-0.632,0.874,0.884
"hsa00620_Pyruvate_metabolism",-0.982,-1.06,0.854,0.885
"hsa04261_Adrenergic_signaling_in_cardiomyocytes",-0.969,-3.52,0.785,0.885
"hsa04152_AMPK_signaling_pathway",0.246,-1.37,0.804,0.887
"hsa05207_Chemical_carcinogenesis",-0.173,-3.26,0.758,0.887
"hsa04024_cAMP_signaling_pathway",-0.888,-3.76,0.713,0.896
"hsa00534_Glycosaminoglycan_biosynthesis",-0.659,-0.523,0.913,0.908
"hsa05168_Herpes_simplex_virus_1_infection",-0.972,-2.29,0.842,0.911
"hsa02010_ABC_transporters",-0.928,-0.794,0.903,0.919
"hsa04664_Fc_epsilon_RI_signaling_pathway",-0.232,-3.29,0.737,0.919
"hsa04722_Neurotrophin_signaling_pathway",0.474,-3.03,0.785,0.923
"hsa04612_Antigen_processing_and_presentation",-1.52,-2,0.859,0.925
"hsa04971_Gastric_acid_secretion",-0.508,-3.22,0.818,0.926
"hsa00563_Glycosylphosphatidylinositol_(GPI)-anchor_biosynthesis",-0.942,-0.8,0.911,0.928
"hsa00310_Lysine_degradation",-0.641,-0.546,0.93,0.932
"hsa00260_Glycine,_serine_and_threonine_metabolism",-1.06,-1,0.917,0.932
"hsa00730_Thiamine_metabolism",-0.733,-0.668,0.909,0.933
"hsa00591_Linoleic_acid_metabolism",-1.3,-1.46,0.905,0.934
"hsa00910_Nitrogen_metabolism",-1.12,-1.05,0.901,0.934
"hsa03420_Nucleotide_excision_repair",-1.12,-1.06,0.922,0.935
"hsa00740_Riboflavin_metabolism",-0.799,-0.761,0.916,0.937
"hsa04720_Long-term_potentiation",-0.124,-3.46,0.751,0.937
"hsa04744_Phototransduction",-2.04,-2.92,0.778,0.94
"hsa03018_RNA_degradation",-0.881,-0.695,0.926,0.944
"hsa04120_Ubiquitin_mediated_proteolysis",-0.776,-0.665,0.941,0.946
"hsa00770_Pantothenate_and_CoA_biosynthesis",-0.942,-0.907,0.932,0.946
"hsa03022_Basal_transcription_factors",-1.05,-0.919,0.94,0.958
"hsa05022_Pathways_of_neurodegeneration",-1.32,-4.04,0.892,0.958
"hsa03040_Spliceosome",-1.61,-1.35,0.93,0.959
"hsa04723_Retrograde_endocannabinoid_signaling",-1.68,-3.91,0.887,0.959
"hsa04150_mTOR_signaling_pathway",-0.576,-2.59,0.932,0.961
"hsa00515_Mannose_type_O-glycan_biosynthesis",-1.2,-1.13,0.946,0.965
"hsa00190_Oxidative_phosphorylation",-2.52,-2.88,0.937,0.965
"hsa05016_Huntington_disease",-2.08,-3.2,0.933,0.965
"hsa04730_Long-term_depression",-0.614,-3.05,0.839,0.966
"hsa00280_Valine,_leucine_and_isoleucine_degradation",-1.22,-1.26,0.936,0.968
"hsa04921_Oxytocin_signaling_pathway",-0.408,-3.76,0.78,0.968
"hsa04966_Collecting_duct_acid_secretion",-1.22,-1.28,0.953,0.969
"hsa04141_Protein_processing_in_endoplasmic_reticulum",-1.82,-2.05,0.943,0.969
"hsa04724_Glutamatergic_synapse",-1.27,-3.43,0.902,0.972
"hsa05033_Nicotine_addiction",-3.09,-3.2,0.866,0.973
"hsa04912_GnRH_signaling_pathway",-0.389,-4.28,0.805,0.973
"hsa00440_Phosphonate_and_phosphinate_metabolism",-1.14,-1.11,0.956,0.974
"hsa04142_Lysosome",-1.32,-1.14,0.954,0.974
"hsa05031_Amphetamine_addiction",-1.15,-3.3,0.911,0.975
"hsa00640_Propanoate_metabolism",-1.61,-1.67,0.925,0.978
"hsa05014_Amyotrophic_lateral_sclerosis",-2.14,-3.24,0.953,0.98
"hsa00380_Tryptophan_metabolism",-1.61,-1.67,0.963,0.982
"hsa00511_Other_glycan_degradation",-1.69,-1.63,0.97,0.985
"hsa04742_Taste_transduction",-3.92,-4.7,0.829,0.986
"hsa01200_Carbon_metabolism",-2.15,-2.26,0.969,0.987
"hsa04540_Gap_junction",-1.06,-3.88,0.951,0.987
"hsa05030_Cocaine_addiction",-1.55,-2.8,0.965,0.988
"hsa04140_Autophagy",-0.426,-2.52,0.954,0.989
"hsa04727_GABAergic_synapse",-2.09,-3.49,0.931,0.989
"hsa04270_Vascular_smooth_muscle_contraction",-1.83,-4.19,0.937,0.99
"hsa00020_Citrate_cycle_(TCA_cycle)",-1.83,-1.87,0.977,0.991
"hsa03015_mRNA_surveillance_pathway",-2.17,-2.13,0.977,0.993
"hsa00430_Taurine_and_hypotaurine_metabolism",-1.31,-1.28,0.983,0.994
"hsa00471_D-Glutamine_and_D-glutamate_metabolism",-1.62,-1.64,0.981,0.994
"hsa00531_Glycosaminoglycan_degradation",-2.12,-2.07,0.981,0.995
"hsa04136_Autophagy",-1.97,-2.13,0.985,0.996
"hsa04726_Serotonergic_synapse",-1.82,-3.92,0.967,0.998
"hsa00630_Glyoxylate_and_dicarboxylate_metabolism",-2.24,-2.26,0.991,0.999
