"GSE19188.GENE.SET","GSE19188.MEAN.ABS.T0","GSE19188.PADOG0","GSE19188.P.MEAN.ABS.T","GSE19188.PVAL"
"hsa05202_Transcriptional_misregulation_in_cancer",1.42,0.924,0.116,0.132
"hsa00604_Glycosphingolipid_biosynthesis",1.34,1.43,0.104,0.133
"hsa04022_cGMP-PKG_signaling_pathway",0.965,-1.67,0.194,0.134
"hsa04210_Apoptosis",0.614,-1.61,0.254,0.136
"hsa04611_Platelet_activation",0.944,-1.74,0.204,0.137
"hsa04540_Gap_junction",0.783,-2.11,0.228,0.144
"hsa00010_Glycolysis_/_Gluconeogenesis",1.44,1.2,0.125,0.146
"hsa04062_Chemokine_signaling_pathway",0.923,-1.77,0.217,0.147
"hsa05416_Viral_myocarditis",2.03,0.951,0.154,0.147
"hsa05020_Prion_disease",1.06,-0.951,0.205,0.149
"hsa04664_Fc_epsilon_RI_signaling_pathway",0.164,-2.1,0.368,0.15
"hsa00970_Aminoacyl-tRNA_biosynthesis",1.69,1.91,0.138,0.151
"hsa03410_Base_excision_repair",1.94,2.04,0.135,0.151
"hsa04514_Cell_adhesion_molecules",1.96,1.62,0.124,0.151
"hsa03050_Proteasome",1.62,1.39,0.141,0.154
"hsa00270_Cysteine_and_methionine_metabolism",1.38,1.42,0.117,0.156
"hsa05415_Diabetic_cardiomyopathy",0.836,-0.991,0.219,0.165
"hsa04929_GnRH_secretion",0.784,-1.68,0.197,0.166
"hsa05143_African_trypanosomiasis",1.25,-0.549,0.133,0.166
"hsa00910_Nitrogen_metabolism",1.17,1.26,0.116,0.166
"hsa04512_ECM-receptor_interaction",1.61,1.39,0.146,0.171
"hsa00340_Histidine_metabolism",1.26,1.15,0.129,0.172
"hsa05133_Pertussis",0.936,-1.47,0.213,0.181
"hsa00920_Sulfur_metabolism",1.18,1.27,0.131,0.182
"hsa00670_One_carbon_pool_by_folate",1.4,1.46,0.158,0.184
"hsa03008_Ribosome_biogenesis_in_eukaryotes",1.71,1.92,0.176,0.186
"hsa05140_Leishmaniasis",1.6,-0.672,0.186,0.189
"hsa04530_Tight_junction",0.849,0.18,0.211,0.19
"hsa05219_Bladder_cancer",0.475,-1.14,0.293,0.198
"hsa04380_Osteoclast_differentiation",0.601,-1.45,0.296,0.199
"hsa00330_Arginine_and_proline_metabolism",1.17,1.14,0.156,0.201
"hsa04216_Ferroptosis",1.03,0.942,0.167,0.208
"hsa04720_Long-term_potentiation",-0.0563,-2.92,0.452,0.211
"hsa01200_Carbon_metabolism",1.12,0.952,0.165,0.217
"hsa04066_HIF-1_signaling_pathway",0.409,-1.46,0.294,0.221
"hsa05414_Dilated_cardiomyopathy",0.857,-0.522,0.247,0.226
"hsa03015_mRNA_surveillance_pathway",1.26,1.28,0.201,0.226
"hsa04614_Renin-angiotensin_system",1.03,1.01,0.154,0.227
"hsa05016_Huntington_disease",1.04,-0.256,0.228,0.23
"hsa04670_Leukocyte_transendothelial_migration",0.564,-0.729,0.283,0.232
"hsa04714_Thermogenesis",0.803,-0.699,0.266,0.232
"hsa05207_Chemical_carcinogenesis",0.351,-2.38,0.373,0.233
"hsa03420_Nucleotide_excision_repair",1.08,1.15,0.208,0.234
"hsa04640_Hematopoietic_cell_lineage",1.44,0.666,0.206,0.234
"hsa03013_RNA_transport",1.59,1.85,0.216,0.241
"hsa04360_Axon_guidance",0.552,-0.444,0.284,0.246
"hsa04145_Phagosome",1.12,0.405,0.238,0.251
"hsa05418_Fluid_shear_stress_and_atherosclerosis",0.144,-1.96,0.42,0.258
"hsa00480_Glutathione_metabolism",0.922,0.918,0.208,0.258
"hsa04928_Parathyroid_hormone_synthesis,_secretion_and_action",0.322,-2.25,0.327,0.263
"hsa05150_Staphylococcus_aureus_infection",1.55,1.15,0.235,0.266
"hsa05012_Parkinson_disease",0.451,-0.986,0.329,0.269
"hsa00450_Selenocompound_metabolism",0.801,0.892,0.226,0.281
"hsa05134_Legionellosis",0.975,-0.4,0.217,0.282
"hsa00260_Glycine,_serine_and_threonine_metabolism",0.801,0.782,0.221,0.283
"hsa00400_Phenylalanine,_tyrosine_and_tryptophan_biosynthesis",0.654,0.551,0.23,0.284
"hsa05323_Rheumatoid_arthritis",1.1,-0.264,0.244,0.287
"hsa04935_Growth_hormone_synthesis,_secretion_and_action",-0.288,-4.15,0.528,0.288
"hsa04625_C-type_lectin_receptor_signaling_pathway",-0.0528,-3.1,0.452,0.29
"hsa04061_Viral_protein_interaction_with_cytokine_and_cytokine_receptor",1.1,0.721,0.257,0.296
"hsa00071_Fatty_acid_degradation",0.765,0.612,0.257,0.299
"hsa00740_Riboflavin_metabolism",0.673,0.72,0.229,0.299
"hsa05410_Hypertrophic_cardiomyopathy",0.659,-0.0665,0.278,0.305
"hsa02010_ABC_transporters",0.648,0.796,0.248,0.312
"hsa04979_Cholesterol_metabolism",0.715,0.723,0.241,0.318
"hsa01240_Biosynthesis_of_cofactors",0.817,0.886,0.276,0.32
"hsa00562_Inositol_phosphate_metabolism",0.314,-0.0893,0.323,0.323
"hsa05211_Renal_cell_carcinoma",-0.187,-2,0.518,0.326
"hsa05221_Acute_myeloid_leukemia",-0.393,-2.39,0.582,0.33
"hsa05010_Alzheimer_disease",0.212,-2.28,0.407,0.331
"hsa00072_Synthesis_and_degradation_of_ketone_bodies",0.554,0.543,0.278,0.341
"hsa05167_Kaposi_sarcoma-associated_herpesvirus_infection",-0.372,-3.8,0.566,0.344
"hsa04261_Adrenergic_signaling_in_cardiomyocytes",-0.039,-2.53,0.474,0.346
"hsa04940_Type_I_diabetes_mellitus",0.493,-0.612,0.324,0.346
"hsa05169_Epstein-Barr_virus_infection",-0.117,-2.64,0.431,0.348
"hsa04068_FoxO_signaling_pathway",-0.512,-2.41,0.628,0.363
"hsa05142_Chagas_disease",-0.0707,-3.18,0.449,0.363
"hsa05146_Amoebiasis",0.297,-1.76,0.347,0.363
"hsa05205_Proteoglycans_in_cancer",-0.411,-2.81,0.593,0.364
"hsa05031_Amphetamine_addiction",-0.221,-2.29,0.511,0.366
"hsa05310_Asthma",0.305,-0.448,0.332,0.37
"hsa05330_Allograft_rejection",0.139,-0.898,0.341,0.371
"hsa05235_PD-L1_expression_and_PD-1_checkpoint_pathway_in_cancer",-0.158,-2.9,0.475,0.373
"hsa04659_Th17_cell_differentiation",-0.102,-2.21,0.393,0.378
"hsa05321_Inflammatory_bowel_disease",0.275,-1.16,0.328,0.379
"hsa04730_Long-term_depression",0.0696,-2.29,0.409,0.392
"hsa03020_RNA_polymerase",0.405,0.529,0.331,0.395
"hsa00564_Glycerophospholipid_metabolism",0.5,0.482,0.323,0.395
"hsa00565_Ether_lipid_metabolism",0.421,0.242,0.314,0.397
"hsa04072_Phospholipase_D_signaling_pathway",-0.163,-2.43,0.512,0.404
"hsa04927_Cortisol_synthesis_and_secretion",0.165,-2.25,0.381,0.404
"hsa04912_GnRH_signaling_pathway",-0.445,-4.11,0.595,0.416
"hsa01522_Endocrine_resistance",-0.638,-3.98,0.681,0.417
"hsa04972_Pancreatic_secretion",0.335,-1.55,0.324,0.419
"hsa04713_Circadian_entrainment",0.0142,-2.89,0.454,0.42
"hsa04071_Sphingolipid_signaling_pathway",-0.394,-2.8,0.597,0.425
"hsa04925_Aldosterone_synthesis_and_secretion",-0.089,-2.81,0.478,0.426
"hsa04010_MAPK_signaling_pathway",-0.259,-2.39,0.568,0.427
"hsa04666_Fc_gamma_R-mediated_phagocytosis",-0.117,-1.58,0.454,0.427
"hsa04122_Sulfur_relay_system",0.385,0.44,0.362,0.432
"hsa05022_Pathways_of_neurodegeneration",-0.175,-2.42,0.496,0.434
"hsa00030_Pentose_phosphate_pathway",0.349,0.311,0.366,0.434
"hsa04934_Cushing_syndrome",-0.031,-2.55,0.477,0.437
"hsa00601_Glycosphingolipid_biosynthesis",0.31,0.408,0.363,0.446
"hsa04921_Oxytocin_signaling_pathway",-0.104,-3.3,0.496,0.45
"hsa00592_alpha-Linolenic_acid_metabolism",0.305,-0.0204,0.364,0.45
"hsa04014_Ras_signaling_pathway",-0.655,-2.72,0.687,0.451
"hsa04750_Inflammatory_mediator_regulation_of_TRP_channels",-0.268,-3.59,0.551,0.452
"hsa04024_cAMP_signaling_pathway",-0.247,-2.83,0.54,0.455
"hsa05231_Choline_metabolism_in_cancer",-0.347,-2.42,0.577,0.456
"hsa04658_Th1_and_Th2_cell_differentiation",-0.619,-2.45,0.479,0.463
"hsa03450_Non-homologous_end-joining",0.27,0.355,0.374,0.464
"hsa03010_Ribosome",-0.176,0.12,0.414,0.466
"hsa04064_NF-kappa_B_signaling_pathway",-0.0354,-1.35,0.439,0.467
"hsa05100_Bacterial_invasion_of_epithelial_cells",-0.0813,-0.926,0.472,0.468
"hsa04260_Cardiac_muscle_contraction",0.292,-0.29,0.395,0.469
"hsa04392_Hippo_signaling_pathway",0.24,0.303,0.355,0.469
"hsa04916_Melanogenesis",-0.522,-3.43,0.652,0.47
"hsa04137_Mitophagy",-0.177,-0.945,0.493,0.474
"hsa05417_Lipid_and_atherosclerosis",-0.748,-3.88,0.672,0.477
"hsa05164_Influenza_A",-0.428,-2.71,0.521,0.479
"hsa03040_Spliceosome",0.219,0.492,0.409,0.481
"hsa04217_Necroptosis",-0.25,-1.26,0.519,0.484
"hsa05030_Cocaine_addiction",-0.465,-1.66,0.597,0.486
"hsa05014_Amyotrophic_lateral_sclerosis",-0.191,-1.14,0.491,0.487
"hsa04976_Bile_secretion",0.0787,-1,0.456,0.489
"hsa04657_IL-17_signaling_pathway",-0.139,-1.87,0.508,0.49
"hsa00053_Ascorbate_and_aldarate_metabolism",0.202,-0.00367,0.436,0.49
"hsa04672_Intestinal_immune_network_for_IgA_production",-0.276,-1.03,0.414,0.495
"hsa00533_Glycosaminoglycan_biosynthesis",0.162,0.195,0.393,0.498
"hsa05332_Graft-versus-host_disease",-0.24,-1.5,0.425,0.504
"hsa04151_PI3K-Akt_signaling_pathway",-0.718,-2.65,0.65,0.505
"hsa04726_Serotonergic_synapse",-0.232,-2.28,0.522,0.514
"hsa04932_Non-alcoholic_fatty_liver_disease",-0.521,-2.56,0.555,0.516
"hsa01521_EGFR_tyrosine_kinase_inhibitor_resistance",-0.755,-3.24,0.726,0.517
"hsa05110_Vibrio_cholerae_infection",-0.403,-1.15,0.526,0.519
"hsa05163_Human_cytomegalovirus_infection",-1.14,-5.41,0.749,0.535
"hsa01040_Biosynthesis_of_unsaturated_fatty_acids",-0.0403,-0.0025,0.439,0.54
"hsa04012_ErbB_signaling_pathway",-0.828,-3.33,0.735,0.542
"hsa05161_Hepatitis_B",-0.978,-4.28,0.764,0.546
"hsa04728_Dopaminergic_synapse",-0.771,-3.47,0.68,0.546
"hsa00620_Pyruvate_metabolism",0.0644,-0.0903,0.46,0.552
"hsa00430_Taurine_and_hypotaurine_metabolism",-0.0882,-0.0505,0.45,0.554
"hsa04974_Protein_digestion_and_absorption",-0.155,-0.16,0.478,0.565
"hsa04120_Ubiquitin_mediated_proteolysis",-0.142,-0.0304,0.509,0.571
"hsa04213_Longevity_regulating_pathway",-0.576,-2.76,0.65,0.572
"hsa04310_Wnt_signaling_pathway",-0.628,-1.75,0.669,0.573
"hsa00040_Pentose_and_glucuronate_interconversions",-0.15,-0.238,0.505,0.58
"hsa04930_Type_II_diabetes_mellitus",-0.435,-1.92,0.629,0.582
"hsa05135_Yersinia_infection",-0.739,-3.36,0.619,0.582
"hsa04970_Salivary_secretion",-0.332,-2.63,0.549,0.582
"hsa04919_Thyroid_hormone_signaling_pathway",-0.916,-2.79,0.755,0.586
"hsa05132_Salmonella_infection",-0.529,-2.32,0.594,0.586
"hsa05170_Human_immunodeficiency_virus_1_infection",-1.03,-4.31,0.707,0.587
"hsa03320_PPAR_signaling_pathway",-0.00565,-0.0634,0.485,0.587
"hsa04621_NOD-like_receptor_signaling_pathway",-0.799,-2.53,0.629,0.593
"hsa04918_Thyroid_hormone_synthesis",-0.323,-2.63,0.574,0.593
"hsa00510_N-Glycan_biosynthesis",-0.177,-0.0492,0.528,0.6
"hsa05216_Thyroid_cancer",-0.619,-1.87,0.678,0.603
"hsa05222_Small_cell_lung_cancer",-0.658,-2.49,0.661,0.608
"hsa04662_B_cell_receptor_signaling_pathway",-1.07,-3.32,0.67,0.61
"hsa04961_Endocrine_and_other_factor-regulated_calcium_reabsorption",-0.205,-1.68,0.538,0.613
"hsa00190_Oxidative_phosphorylation",-0.799,-1.28,0.559,0.621
"hsa04060_Cytokine-cytokine_receptor_interaction",-0.794,-1.17,0.58,0.622
"hsa00061_Fatty_acid_biosynthesis",-0.133,-0.177,0.5,0.622
"hsa00650_Butanoate_metabolism",-0.265,-0.251,0.538,0.624
"hsa04215_Apoptosis",-0.652,-1.46,0.688,0.625
"hsa04371_Apelin_signaling_pathway",-0.652,-3.31,0.68,0.626
"hsa05130_Pathogenic_Escherichia_coli_infection",-0.565,-2.21,0.609,0.628
"hsa05220_Chronic_myeloid_leukemia",-1.1,-3.58,0.78,0.629
"hsa00440_Phosphonate_and_phosphinate_metabolism",-0.195,-0.163,0.519,0.629
"hsa00513_Various_types_of_N-glycan_biosynthesis",-0.306,-0.229,0.518,0.629
"hsa03060_Protein_export",-0.356,-0.248,0.531,0.632
"hsa00062_Fatty_acid_elongation",-0.243,-0.186,0.525,0.637
"hsa04931_Insulin_resistance",-0.6,-2.48,0.649,0.639
"hsa01212_Fatty_acid_metabolism",-0.258,-0.281,0.547,0.641
"hsa00982_Drug_metabolism",-0.29,-0.487,0.579,0.645
"hsa05165_Human_papillomavirus_infection",-1.07,-3.18,0.78,0.646
"hsa00630_Glyoxylate_and_dicarboxylate_metabolism",-0.268,-0.312,0.537,0.646
"hsa05145_Toxoplasmosis",-1.29,-3.38,0.738,0.649
"hsa05032_Morphine_addiction",-0.603,-2.07,0.609,0.649
"hsa04330_Notch_signaling_pathway",-0.26,-0.322,0.529,0.649
"hsa04350_TGF-beta_signaling_pathway",-0.51,-0.899,0.641,0.653
"hsa00600_Sphingolipid_metabolism",-0.338,-0.244,0.543,0.657
"hsa05212_Pancreatic_cancer",-1.3,-3.67,0.843,0.658
"hsa05210_Colorectal_cancer",-1.24,-3.83,0.829,0.659
"hsa00471_D-Glutamine_and_D-glutamate_metabolism",-0.379,-0.402,0.558,0.659
"hsa05215_Prostate_cancer",-1.36,-3.77,0.837,0.661
"hsa00120_Primary_bile_acid_biosynthesis",-0.258,-0.194,0.545,0.662
"hsa00380_Tryptophan_metabolism",-0.292,-0.433,0.55,0.668
"hsa05120_Epithelial_cell_signaling_in_Helicobacter_pylori_infection",-0.814,-2.26,0.726,0.67
"hsa05017_Spinocerebellar_ataxia",-0.661,-2.26,0.636,0.673
"hsa04722_Neurotrophin_signaling_pathway",-1.34,-3.89,0.886,0.674
"hsa05320_Autoimmune_thyroid_disease",-1.31,-2.18,0.622,0.681
"hsa04130_SNARE_interactions_in_vesicular_transport",-0.31,-0.175,0.575,0.682
"hsa05171_Coronavirus_disease",-1.28,-2.99,0.677,0.683
"hsa05217_Basal_cell_carcinoma",-0.562,-1.36,0.656,0.686
"hsa04975_Fat_digestion_and_absorption",-0.252,-0.396,0.564,0.686
"hsa00603_Glycosphingolipid_biosynthesis",-0.484,-0.435,0.599,0.69
"hsa04911_Insulin_secretion",-0.751,-3.02,0.682,0.692
"hsa04630_JAK-STAT_signaling_pathway",-1.12,-2.38,0.729,0.696
"hsa00220_Arginine_biosynthesis",-0.5,-0.594,0.6,0.699
"hsa04620_Toll-like_receptor_signaling_pathway",-1.16,-3.66,0.762,0.703
"hsa04950_Maturity_onset_diabetes_of_the_young",-0.599,-0.55,0.609,0.704
"hsa04971_Gastric_acid_secretion",-0.763,-3.42,0.715,0.707
"hsa00512_Mucin_type_O-glycan_biosynthesis",-0.559,-0.428,0.606,0.709
"hsa05214_Glioma",-1.34,-4.26,0.875,0.712
"hsa04390_Hippo_signaling_pathway",-0.679,-1.26,0.687,0.715
"hsa00790_Folate_biosynthesis",-0.461,-0.396,0.614,0.717
"hsa00310_Lysine_degradation",-0.449,-0.359,0.599,0.72
"hsa04810_Regulation_of_actin_cytoskeleton",-1.02,-2.24,0.746,0.722
"hsa00524_Neomycin,_kanamycin_and_gentamicin_biosynthesis",-0.547,-0.68,0.631,0.724
"hsa04978_Mineral_absorption",-0.852,-0.885,0.663,0.728
"hsa04960_Aldosterone-regulated_sodium_reabsorption",-0.963,-2.22,0.756,0.731
"hsa04152_AMPK_signaling_pathway",-0.895,-2,0.758,0.736
"hsa04623_Cytosolic_DNA-sensing_pathway",-0.859,-1.79,0.709,0.736
"hsa04915_Estrogen_signaling_pathway",-1.13,-4.32,0.821,0.738
"hsa00100_Steroid_biosynthesis",-0.594,-0.491,0.652,0.744
"hsa00860_Porphyrin_and_chlorophyll_metabolism",-0.596,-0.635,0.646,0.747
"hsa00515_Mannose_type_O-glycan_biosynthesis",-0.57,-0.491,0.655,0.749
"hsa00591_Linoleic_acid_metabolism",-0.67,-0.963,0.66,0.756
"hsa04144_Endocytosis",-0.792,-0.931,0.667,0.762
"hsa04724_Glutamatergic_synapse",-0.905,-3.21,0.696,0.763
"hsa00830_Retinol_metabolism",-0.748,-0.79,0.678,0.763
"hsa04211_Longevity_regulating_pathway",-1.14,-3.5,0.845,0.766
"hsa04920_Adipocytokine_signaling_pathway",-0.975,-2.21,0.804,0.776
"hsa03018_RNA_degradation",-0.804,-0.633,0.681,0.777
"hsa04370_VEGF_signaling_pathway",-1.26,-3.74,0.857,0.778
"hsa04650_Natural_killer_cell_mediated_cytotoxicity",-2.1,-3.92,0.812,0.779
"hsa05224_Breast_cancer",-1.12,-3.26,0.827,0.783
"hsa05223_Non-small_cell_lung_cancer",-1.39,-3.78,0.872,0.787
"hsa03022_Basal_transcription_factors",-0.759,-0.614,0.694,0.79
"hsa05131_Shigellosis",-1.49,-3.5,0.833,0.793
"hsa04723_Retrograde_endocannabinoid_signaling",-1.3,-3.6,0.782,0.794
"hsa04142_Lysosome",-1.54,-1.36,0.725,0.795
"hsa01210_2-Oxocarboxylic_acid_metabolism",-0.861,-0.918,0.694,0.797
"hsa05230_Central_carbon_metabolism_in_cancer",-1.17,-2.65,0.838,0.799
"hsa04070_Phosphatidylinositol_signaling_system",-0.977,-2.37,0.793,0.807
"hsa00514_Other_types_of_O-glycan_biosynthesis",-0.861,-0.737,0.746,0.809
"hsa05218_Melanoma",-1.26,-3.32,0.848,0.813
"hsa00130_Ubiquinone_and_other_terpenoid-quinone_biosynthesis",-0.879,-0.827,0.74,0.815
"hsa05152_Tuberculosis",-2.25,-4.51,0.852,0.819
"hsa00983_Drug_metabolism",-1,-1.04,0.771,0.828
"hsa04962_Vasopressin-regulated_water_reabsorption",-1.19,-2.04,0.82,0.834
"hsa00520_Amino_sugar_and_nucleotide_sugar_metabolism",-1.06,-1,0.768,0.841
"hsa05340_Primary_immunodeficiency",-1.66,-1.74,0.788,0.845
"hsa04917_Prolactin_signaling_pathway",-1.37,-3.75,0.893,0.85
"hsa04977_Vitamin_digestion_and_absorption",-0.931,-0.829,0.764,0.851
"hsa04710_Circadian_rhythm",-1.26,-1.31,0.833,0.857
"hsa00534_Glycosaminoglycan_biosynthesis",-1.05,-0.927,0.789,0.862
"hsa04973_Carbohydrate_digestion_and_absorption",-1.24,-2.66,0.839,0.863
"hsa00410_beta-Alanine_metabolism",-0.973,-1.07,0.793,0.866
"hsa04020_Calcium_signaling_pathway",-1.44,-3.32,0.833,0.87
"hsa04725_Cholinergic_synapse",-1.48,-4.64,0.862,0.876
"hsa04727_GABAergic_synapse",-1.37,-2.94,0.831,0.876
"hsa04922_Glucagon_signaling_pathway",-1.75,-3.62,0.916,0.877
"hsa04550_Signaling_pathways_regulating_pluripotency_of_stem_cells",-1.58,-2.87,0.903,0.877
"hsa00052_Galactose_metabolism",-1.19,-1.28,0.805,0.878
"hsa00531_Glycosaminoglycan_degradation",-1.22,-1.16,0.803,0.879
"hsa00020_Citrate_cycle_(TCA_cycle)",-1.47,-1.51,0.83,0.881
"hsa04660_T_cell_receptor_signaling_pathway",-2.16,-4.61,0.934,0.884
"hsa04721_Synaptic_vesicle_cycle",-1.34,-1.35,0.817,0.885
"hsa04340_Hedgehog_signaling_pathway",-1.79,-1.94,0.89,0.891
"hsa05160_Hepatitis_C",-2.17,-4.37,0.946,0.899
"hsa04612_Antigen_processing_and_presentation",-2.53,-3.1,0.829,0.9
"hsa04913_Ovarian_steroidogenesis",-1.31,-2.75,0.856,0.902
"hsa04966_Collecting_duct_acid_secretion",-1.39,-1.48,0.846,0.903
"hsa00280_Valine,_leucine_and_isoleucine_degradation",-1.59,-1.66,0.859,0.905
"hsa05226_Gastric_cancer",-1.73,-3.73,0.937,0.91
"hsa00532_Glycosaminoglycan_biosynthesis",-1.49,-1.39,0.842,0.91
"hsa04141_Protein_processing_in_endoplasmic_reticulum",-2.42,-2.5,0.894,0.911
"hsa00232_Caffeine_metabolism",-1.33,-1.33,0.854,0.912
"hsa05213_Endometrial_cancer",-1.94,-4.09,0.958,0.915
"hsa04150_mTOR_signaling_pathway",-1.8,-3.35,0.95,0.916
"hsa05204_Chemical_carcinogenesis",-1.64,-1.73,0.878,0.919
"hsa00640_Propanoate_metabolism",-1.66,-1.71,0.889,0.928
"hsa04136_Autophagy",-1.46,-1.69,0.871,0.93
"hsa00900_Terpenoid_backbone_biosynthesis",-1.56,-1.5,0.882,0.933
"hsa00770_Pantothenate_and_CoA_biosynthesis",-1.42,-1.43,0.866,0.934
"hsa00980_Metabolism_of_xenobiotics_by_cytochrome_P450",-1.78,-1.91,0.898,0.936
"hsa04744_Phototransduction",-1.86,-2.49,0.912,0.938
"hsa00760_Nicotinate_and_nicotinamide_metabolism",-1.56,-1.49,0.894,0.945
"hsa01524_Platinum_drug_resistance",-2.07,-3.37,0.96,0.946
"hsa04080_Neuroactive_ligand-receptor_interaction",-3.13,-3.03,0.917,0.947
"hsa00500_Starch_and_sucrose_metabolism",-1.77,-1.8,0.915,0.951
"hsa05225_Hepatocellular_carcinoma",-2.25,-4.36,0.97,0.953
"hsa05033_Nicotine_addiction",-2.19,-2.37,0.929,0.958
"hsa04140_Autophagy",-2.29,-3.75,0.961,0.959
"hsa00563_Glycosylphosphatidylinositol_(GPI)-anchor_biosynthesis",-1.7,-1.58,0.921,0.963
"hsa04910_Insulin_signaling_pathway",-2.41,-4.3,0.979,0.964
"hsa00561_Glycerolipid_metabolism",-1.81,-1.81,0.933,0.965
"hsa04146_Peroxisome",-1.73,-1.66,0.936,0.969
"hsa00511_Other_glycan_degradation",-2.13,-2.08,0.941,0.974
"hsa00140_Steroid_hormone_biosynthesis",-2.59,-2.6,0.97,0.988
"hsa05162_Measles",-3.39,-5.63,0.998,0.996
"hsa04622_RIG-I-like_receptor_signaling_pathway",-3.05,-4.24,0.993,0.996
"hsa04740_Olfactory_transduction",-5.15,-5.51,0.994,0.998
"hsa04742_Taste_transduction",-3.9,-4.61,0.999,0.999
"hsa05168_Herpes_simplex_virus_1_infection",-7.74,-8.73,1,1
