"GSE4183.GENE.SET","GSE4183.MEAN.ABS.T0","GSE4183.PADOG0","GSE4183.P.MEAN.ABS.T","GSE4183.PVAL"
"hsa04974_Protein_digestion_and_absorption",3.48,3.53,0.113,0.133
"hsa04540_Gap_junction",0.937,-1.92,0.287,0.139
"hsa05100_Bacterial_invasion_of_epithelial_cells",1.57,0.373,0.119,0.139
"hsa04610_Complement_and_coagulation_cascades",3.1,3.16,0.109,0.139
"hsa00190_Oxidative_phosphorylation",1.68,1.12,0.134,0.147
"hsa04714_Thermogenesis",1.11,-0.635,0.162,0.148
"hsa04146_Peroxisome",1.83,1.93,0.129,0.152
"hsa00860_Porphyrin_and_chlorophyll_metabolism",2.12,1.93,0.156,0.155
"hsa00052_Galactose_metabolism",1.93,1.75,0.172,0.169
"hsa04270_Vascular_smooth_muscle_contraction",1.2,-1.17,0.313,0.171
"hsa00982_Drug_metabolism",2.26,1.94,0.176,0.172
"hsa00980_Metabolism_of_xenobiotics_by_cytochrome_P450",2.31,2.04,0.166,0.172
"hsa04062_Chemokine_signaling_pathway",1.48,-1.52,0.283,0.176
"hsa05167_Kaposi_sarcoma-associated_herpesvirus_infection",0.222,-3.41,0.402,0.184
"hsa00140_Steroid_hormone_biosynthesis",2.32,2.21,0.182,0.184
"hsa00030_Pentose_phosphate_pathway",1.86,1.84,0.195,0.189
"hsa04914_Progesterone-mediated_oocyte_maturation",1.29,-1.46,0.229,0.193
"hsa00770_Pantothenate_and_CoA_biosynthesis",1.77,1.79,0.164,0.198
"hsa04150_mTOR_signaling_pathway",0.589,-1.16,0.343,0.2
"hsa05223_Non-small_cell_lung_cancer",0.618,-2.34,0.334,0.2
"hsa00650_Butanoate_metabolism",1.67,1.62,0.198,0.208
"hsa00620_Pyruvate_metabolism",1.55,1.37,0.191,0.21
"hsa05014_Amyotrophic_lateral_sclerosis",0.426,-0.698,0.202,0.212
"hsa04152_AMPK_signaling_pathway",0.965,-0.459,0.231,0.213
"hsa00061_Fatty_acid_biosynthesis",1.55,1.5,0.172,0.214
"hsa05135_Yersinia_infection",0.573,-2.28,0.296,0.218
"hsa04370_VEGF_signaling_pathway",0.666,-2.41,0.347,0.219
"hsa04670_Leukocyte_transendothelial_migration",1.56,-0.11,0.222,0.219
"hsa01040_Biosynthesis_of_unsaturated_fatty_acids",1.61,1.63,0.186,0.22
"hsa00790_Folate_biosynthesis",1.48,1.58,0.19,0.221
"hsa04722_Neurotrophin_signaling_pathway",-0.0792,-3.03,0.46,0.224
"hsa00830_Retinol_metabolism",2.08,1.93,0.222,0.224
"hsa04210_Apoptosis",-0.104,-2.08,0.477,0.226
"hsa04621_NOD-like_receptor_signaling_pathway",0.881,-0.997,0.319,0.227
"hsa04068_FoxO_signaling_pathway",0.772,-1.85,0.293,0.232
"hsa05132_Salmonella_infection",0.166,-1.59,0.305,0.233
"hsa04923_Regulation_of_lipolysis_in_adipocytes",1.04,-1.31,0.316,0.235
"hsa01200_Carbon_metabolism",1.47,1.31,0.22,0.239
"hsa04060_Cytokine-cytokine_receptor_interaction",2.66,2.04,0.214,0.244
"hsa01523_Antifolate_resistance",1.31,0.416,0.258,0.245
"hsa00062_Fatty_acid_elongation",1.36,1.38,0.214,0.256
"hsa04122_Sulfur_relay_system",1.3,1.37,0.229,0.268
"hsa00750_Vitamin_B6_metabolism",1.13,1.16,0.223,0.273
"hsa04931_Insulin_resistance",0.57,-1.32,0.351,0.277
"hsa04924_Renin_secretion",0.525,-1.42,0.492,0.284
"hsa00330_Arginine_and_proline_metabolism",1.39,1.35,0.248,0.286
"hsa00500_Starch_and_sucrose_metabolism",1.43,1.36,0.267,0.287
"hsa03060_Protein_export",0.565,0.675,0.236,0.287
"hsa00670_One_carbon_pool_by_folate",1.26,1.34,0.276,0.288
"hsa04070_Phosphatidylinositol_signaling_system",0.56,-0.954,0.333,0.29
"hsa05214_Glioma",0.00247,-3.37,0.531,0.295
"hsa04072_Phospholipase_D_signaling_pathway",0.774,-1.8,0.391,0.296
"hsa05022_Pathways_of_neurodegeneration",-0.249,-2.64,0.355,0.299
"hsa04623_Cytosolic_DNA-sensing_pathway",0.896,-0.179,0.336,0.305
"hsa05012_Parkinson_disease",-0.465,-1.85,0.371,0.306
"hsa04010_MAPK_signaling_pathway",0.285,-1.83,0.503,0.312
"hsa05131_Shigellosis",-0.113,-2.4,0.394,0.312
"hsa00250_Alanine,_aspartate_and_glutamate_metabolism",1.4,1.42,0.268,0.315
"hsa04024_cAMP_signaling_pathway",0.505,-2,0.51,0.317
"hsa00524_Neomycin,_kanamycin_and_gentamicin_biosynthesis",1.25,1.01,0.272,0.319
"hsa05164_Influenza_A",0.19,-2.1,0.462,0.329
"hsa00970_Aminoacyl-tRNA_biosynthesis",0.983,1.2,0.296,0.332
"hsa05220_Chronic_myeloid_leukemia",-0.0937,-3,0.517,0.34
"hsa05231_Choline_metabolism_in_cancer",0.0836,-1.97,0.548,0.341
"hsa04730_Long-term_depression",0.193,-1.88,0.506,0.345
"hsa00270_Cysteine_and_methionine_metabolism",0.976,1.02,0.317,0.356
"hsa04310_Wnt_signaling_pathway",0.511,-0.857,0.45,0.363
"hsa00220_Arginine_biosynthesis",1.11,0.946,0.299,0.364
"hsa04723_Retrograde_endocannabinoid_signaling",0.248,-2.1,0.431,0.365
"hsa05211_Renal_cell_carcinoma",0.423,-2.01,0.391,0.365
"hsa00130_Ubiquinone_and_other_terpenoid-quinone_biosynthesis",0.647,0.718,0.299,0.367
"hsa04022_cGMP-PKG_signaling_pathway",0.267,-2.25,0.521,0.368
"hsa04141_Protein_processing_in_endoplasmic_reticulum",-0.0231,-0.0896,0.349,0.372
"hsa00561_Glycerolipid_metabolism",1.2,1.23,0.315,0.375
"hsa05414_Dilated_cardiomyopathy",0.849,-0.691,0.368,0.376
"hsa05016_Huntington_disease",-0.436,-1.6,0.388,0.379
"hsa04713_Circadian_entrainment",0.174,-2.64,0.526,0.38
"hsa05143_African_trypanosomiasis",1.12,-0.797,0.318,0.381
"hsa04110_Cell_cycle",0.782,0.0496,0.369,0.383
"hsa04390_Hippo_signaling_pathway",0.819,0.00152,0.329,0.386
"hsa05130_Pathogenic_Escherichia_coli_infection",-0.012,-1.68,0.41,0.393
"hsa04350_TGF-beta_signaling_pathway",0.566,0.153,0.39,0.395
"hsa05212_Pancreatic_cancer",-0.207,-3.14,0.569,0.405
"hsa04977_Vitamin_digestion_and_absorption",1,1.11,0.354,0.405
"hsa04145_Phagosome",0.475,-0.166,0.384,0.409
"hsa00910_Nitrogen_metabolism",1.14,1.23,0.357,0.416
"hsa05110_Vibrio_cholerae_infection",0.0743,-0.828,0.405,0.417
"hsa04064_NF-kappa_B_signaling_pathway",0.369,-0.808,0.462,0.426
"hsa04810_Regulation_of_actin_cytoskeleton",0.441,-1.12,0.421,0.435
"hsa05160_Hepatitis_C",-0.291,-2.85,0.596,0.437
"hsa05216_Thyroid_cancer",0.326,-1.27,0.464,0.438
"hsa00230_Purine_metabolism",0.994,0.456,0.344,0.44
"hsa04664_Fc_epsilon_RI_signaling_pathway",-0.187,-2.92,0.57,0.444
"hsa04650_Natural_killer_cell_mediated_cytotoxicity",0.153,-1.87,0.535,0.446
"hsa05412_Arrhythmogenic_right_ventricular_cardiomyopathy",0.612,0.0811,0.39,0.447
"hsa01230_Biosynthesis_of_amino_acids",0.729,0.691,0.378,0.451
"hsa00450_Selenocompound_metabolism",0.632,0.73,0.369,0.452
"hsa03022_Basal_transcription_factors",0.365,0.536,0.365,0.453
"hsa00760_Nicotinate_and_nicotinamide_metabolism",0.82,0.94,0.394,0.456
"hsa03050_Proteasome",0.0138,-0.165,0.41,0.46
"hsa00400_Phenylalanine,_tyrosine_and_tryptophan_biosynthesis",0.667,0.601,0.403,0.462
"hsa01524_Platinum_drug_resistance",-0.0139,-1.68,0.488,0.464
"hsa05224_Breast_cancer",0.352,-2.02,0.544,0.467
"hsa05142_Chagas_disease",-0.125,-3.28,0.596,0.473
"hsa01210_2-Oxocarboxylic_acid_metabolism",0.614,0.571,0.389,0.475
"hsa04514_Cell_adhesion_molecules",0.822,0.67,0.457,0.48
"hsa00730_Thiamine_metabolism",0.77,0.843,0.405,0.48
"hsa00430_Taurine_and_hypotaurine_metabolism",0.786,0.844,0.396,0.48
"hsa04530_Tight_junction",-0.048,-0.742,0.488,0.486
"hsa00350_Tyrosine_metabolism",0.699,0.639,0.425,0.487
"hsa04371_Apelin_signaling_pathway",-0.159,-2.88,0.613,0.488
"hsa04935_Growth_hormone_synthesis,_secretion_and_action",-0.378,-4.49,0.649,0.493
"hsa05226_Gastric_cancer",0.334,-2.12,0.56,0.493
"hsa04520_Adherens_junction",-0.176,-0.891,0.496,0.493
"hsa00511_Other_glycan_degradation",0.502,0.587,0.417,0.496
"hsa00600_Sphingolipid_metabolism",0.655,0.769,0.405,0.499
"hsa04216_Ferroptosis",0.277,0.284,0.453,0.501
"hsa05221_Acute_myeloid_leukemia",-0.167,-2.63,0.573,0.503
"hsa04114_Oocyte_meiosis",-0.0637,-2.29,0.526,0.508
"hsa04662_B_cell_receptor_signaling_pathway",-0.522,-2.62,0.66,0.51
"hsa05225_Hepatocellular_carcinoma",-0.0111,-2.61,0.546,0.518
"hsa04380_Osteoclast_differentiation",-0.205,-2.59,0.59,0.522
"hsa05145_Toxoplasmosis",-0.646,-2.71,0.678,0.523
"hsa04978_Mineral_absorption",0.321,0.349,0.494,0.532
"hsa05150_Staphylococcus_aureus_infection",0.805,0.627,0.517,0.544
"hsa05410_Hypertrophic_cardiomyopathy",0.424,-0.472,0.443,0.553
"hsa04919_Thyroid_hormone_signaling_pathway",-0.142,-2.56,0.59,0.557
"hsa00630_Glyoxylate_and_dicarboxylate_metabolism",0.391,0.373,0.453,0.558
"hsa04360_Axon_guidance",0.262,-0.977,0.542,0.561
"hsa00020_Citrate_cycle_(TCA_cycle)",-0.0264,-0.136,0.469,0.561
"hsa00072_Synthesis_and_degradation_of_ketone_bodies",0.337,0.312,0.472,0.562
"hsa04928_Parathyroid_hormone_synthesis,_secretion_and_action",-0.121,-2.72,0.642,0.564
"hsa04014_Ras_signaling_pathway",-0.484,-2.76,0.717,0.566
"hsa04970_Salivary_secretion",0.287,-1.9,0.634,0.566
"hsa05161_Hepatitis_B",-0.782,-4.35,0.733,0.568
"hsa00534_Glycosaminoglycan_biosynthesis",0.428,0.588,0.484,0.569
"hsa04142_Lysosome",0.078,0.245,0.479,0.57
"hsa04550_Signaling_pathways_regulating_pluripotency_of_stem_cells",0.336,-1.4,0.526,0.575
"hsa00983_Drug_metabolism",0.511,0.315,0.488,0.579
"hsa00380_Tryptophan_metabolism",0.566,0.429,0.48,0.581
"hsa04330_Notch_signaling_pathway",-0.085,-0.0574,0.514,0.582
"hsa03420_Nucleotide_excision_repair",-0.372,-0.297,0.497,0.582
"hsa03030_DNA_replication",-0.708,-0.608,0.528,0.585
"hsa05210_Colorectal_cancer",-0.685,-3.68,0.718,0.587
"hsa00603_Glycosphingolipid_biosynthesis",0.212,0.261,0.5,0.599
"hsa04215_Apoptosis",-0.651,-1.32,0.666,0.601
"hsa04659_Th17_cell_differentiation",-0.526,-2.48,0.669,0.605
"hsa00564_Glycerophospholipid_metabolism",0.275,0.336,0.519,0.605
"hsa04912_GnRH_signaling_pathway",-0.891,-4.53,0.78,0.607
"hsa00360_Phenylalanine_metabolism",0.311,0.23,0.536,0.612
"hsa04971_Gastric_acid_secretion",-0.392,-2.96,0.716,0.613
"hsa04921_Oxytocin_signaling_pathway",-0.789,-3.73,0.748,0.617
"hsa04260_Cardiac_muscle_contraction",-0.184,-0.611,0.579,0.618
"hsa00340_Histidine_metabolism",0.16,0.0942,0.53,0.624
"hsa04750_Inflammatory_mediator_regulation_of_TRP_channels",-0.0813,-3.75,0.642,0.625
"hsa03008_Ribosome_biogenesis_in_eukaryotes",-0.813,-0.616,0.553,0.629
"hsa05152_Tuberculosis",-0.894,-3.23,0.729,0.631
"hsa05218_Melanoma",-0.0828,-2.59,0.625,0.634
"hsa00562_Inositol_phosphate_metabolism",-0.263,-0.826,0.572,0.64
"hsa00471_D-Glutamine_and_D-glutamate_metabolism",0.024,-0.0049,0.546,0.64
"hsa00232_Caffeine_metabolism",0.077,0.0874,0.557,0.641
"hsa05217_Basal_cell_carcinoma",0.225,-0.634,0.616,0.642
"hsa05202_Transcriptional_misregulation_in_cancer",0.237,-0.388,0.579,0.658
"hsa03020_RNA_polymerase",-0.229,-0.0961,0.549,0.66
"hsa04261_Adrenergic_signaling_in_cardiomyocytes",-0.528,-3.22,0.753,0.662
"hsa04015_Rap1_signaling_pathway",-0.401,-3.33,0.691,0.662
"hsa04966_Collecting_duct_acid_secretion",-0.137,-0.301,0.569,0.665
"hsa04620_Toll-like_receptor_signaling_pathway",-0.608,-3.47,0.664,0.667
"hsa04640_Hematopoietic_cell_lineage",0.18,-0.611,0.576,0.671
"hsa04710_Circadian_rhythm",-0.523,-0.622,0.615,0.675
"hsa04012_ErbB_signaling_pathway",-0.97,-3.75,0.76,0.68
"hsa00440_Phosphonate_and_phosphinate_metabolism",-0.128,-0.0984,0.589,0.684
"hsa05169_Epstein-Barr_virus_infection",-0.981,-3.53,0.766,0.687
"hsa04211_Longevity_regulating_pathway",-0.804,-3.34,0.764,0.687
"hsa00565_Ether_lipid_metabolism",0.0492,0.00496,0.619,0.688
"hsa00604_Glycosphingolipid_biosynthesis",-0.0375,0.0211,0.596,0.689
"hsa00531_Glycosaminoglycan_degradation",-0.066,0.00717,0.592,0.691
"hsa04720_Long-term_potentiation",-0.962,-3.81,0.847,0.693
"hsa04137_Mitophagy",-1.14,-1.75,0.71,0.698
"hsa05140_Leishmaniasis",-0.679,-2.67,0.684,0.698
"hsa00514_Other_types_of_O-glycan_biosynthesis",0.0345,0.191,0.606,0.702
"hsa04625_C-type_lectin_receptor_signaling_pathway",-1.21,-4.06,0.809,0.704
"hsa05166_Human_T-cell_leukemia_virus_1_infection",-1.25,-3.97,0.822,0.71
"hsa04115_p53_signaling_pathway",-0.295,-1.21,0.648,0.712
"hsa05235_PD-L1_expression_and_PD-1_checkpoint_pathway_in_cancer",-1.21,-3.76,0.794,0.719
"hsa04960_Aldosterone-regulated_sodium_reabsorption",-0.267,-1.86,0.691,0.719
"hsa03013_RNA_transport",-1.78,-1.54,0.641,0.73
"hsa04910_Insulin_signaling_pathway",-0.904,-3.17,0.785,0.731
"hsa04964_Proximal_tubule_bicarbonate_reclamation",-0.0752,-0.263,0.667,0.733
"hsa04727_GABAergic_synapse",-0.315,-1.92,0.712,0.736
"hsa00120_Primary_bile_acid_biosynthesis",0.0656,0.143,0.637,0.736
"hsa04916_Melanogenesis",-0.723,-3.78,0.823,0.738
"hsa05213_Endometrial_cancer",-0.858,-3.68,0.738,0.74
"hsa04962_Vasopressin-regulated_water_reabsorption",-0.708,-1.8,0.665,0.74
"hsa03430_Mismatch_repair",-0.982,-0.932,0.653,0.742
"hsa03410_Base_excision_repair",-0.691,-0.589,0.662,0.743
"hsa00310_Lysine_degradation",-0.373,-0.326,0.628,0.745
"hsa04218_Cellular_senescence",-1.02,-3.85,0.749,0.752
"hsa04213_Longevity_regulating_pathway",-0.746,-3.18,0.763,0.76
"hsa05416_Viral_myocarditis",-1.12,-2.07,0.687,0.76
"hsa03040_Spliceosome",-1.86,-1.62,0.653,0.761
"hsa05170_Human_immunodeficiency_virus_1_infection",-1.86,-4.85,0.907,0.771
"hsa00533_Glycosaminoglycan_biosynthesis",-0.0781,-0.0334,0.662,0.773
"hsa00563_Glycosylphosphatidylinositol_(GPI)-anchor_biosynthesis",-0.526,-0.373,0.676,0.778
"hsa00510_N-Glycan_biosynthesis",-0.725,-0.579,0.659,0.781
"hsa05017_Spinocerebellar_ataxia",-1.21,-2.79,0.766,0.782
"hsa03440_Homologous_recombination",-1.09,-0.996,0.702,0.782
"hsa00260_Glycine,_serine_and_threonine_metabolism",-0.267,-0.262,0.687,0.786
"hsa02010_ABC_transporters",0.0356,0.142,0.665,0.786
"hsa00740_Riboflavin_metabolism",-0.368,-0.332,0.685,0.789
"hsa04973_Carbohydrate_digestion_and_absorption",-0.263,-1.9,0.763,0.79
"hsa04020_Calcium_signaling_pathway",-0.495,-2.28,0.81,0.792
"hsa04144_Endocytosis",-1.21,-1.29,0.725,0.794
"hsa04130_SNARE_interactions_in_vesicular_transport",-0.548,-0.416,0.654,0.799
"hsa04724_Glutamatergic_synapse",-0.929,-3.04,0.824,0.803
"hsa04721_Synaptic_vesicle_cycle",-0.48,-0.517,0.733,0.804
"hsa00590_Arachidonic_acid_metabolism",-0.264,-0.335,0.751,0.811
"hsa00592_alpha-Linolenic_acid_metabolism",-0.482,-0.67,0.761,0.813
"hsa04918_Thyroid_hormone_synthesis",-0.638,-2.89,0.809,0.814
"hsa04140_Autophagy",-1.46,-3.05,0.817,0.817
"hsa03015_mRNA_surveillance_pathway",-1.24,-1.21,0.721,0.819
"hsa04911_Insulin_secretion",-0.701,-3,0.821,0.823
"hsa04612_Antigen_processing_and_presentation",-1.3,-1.63,0.778,0.823
"hsa05171_Coronavirus_disease",-2.4,-4.22,0.772,0.823
"hsa04340_Hedgehog_signaling_pathway",-0.591,-1.08,0.736,0.824
"hsa04915_Estrogen_signaling_pathway",-1.19,-4.43,0.895,0.825
"hsa04917_Prolactin_signaling_pathway",-0.903,-3.77,0.767,0.836
"hsa04725_Cholinergic_synapse",-0.998,-4.32,0.841,0.837
"hsa04728_Dopaminergic_synapse",-1.67,-4.36,0.886,0.856
"hsa04614_Renin-angiotensin_system",-0.488,-0.454,0.764,0.856
"hsa04922_Glucagon_signaling_pathway",-1.29,-3.19,0.911,0.859
"hsa04979_Cholesterol_metabolism",-0.598,-0.542,0.791,0.862
"hsa00900_Terpenoid_backbone_biosynthesis",-0.979,-0.92,0.777,0.863
"hsa00100_Steroid_biosynthesis",-1.16,-1.06,0.75,0.864
"hsa04950_Maturity_onset_diabetes_of_the_young",-0.513,-0.452,0.788,0.866
"hsa03450_Non-homologous_end-joining",-0.864,-0.782,0.785,0.876
"hsa04930_Type_II_diabetes_mellitus",-0.967,-2.48,0.849,0.877
"hsa05321_Inflammatory_bowel_disease",-0.757,-2.12,0.803,0.877
"hsa04660_T_cell_receptor_signaling_pathway",-2.04,-4.51,0.901,0.882
"hsa04136_Autophagy",-1.25,-1.45,0.799,0.885
"hsa04961_Endocrine_and_other_factor-regulated_calcium_reabsorption",-0.866,-2.36,0.833,0.887
"hsa05033_Nicotine_addiction",-0.757,-0.938,0.811,0.887
"hsa04929_GnRH_secretion",-1.08,-3.37,0.844,0.889
"hsa04934_Cushing_syndrome",-1.18,-3.89,0.866,0.894
"hsa04120_Ubiquitin_mediated_proteolysis",-1.77,-1.69,0.823,0.897
"hsa05332_Graft-versus-host_disease",-1.39,-2.49,0.801,0.899
"hsa03460_Fanconi_anemia_pathway",-1.4,-1.28,0.831,0.9
"hsa00512_Mucin_type_O-glycan_biosynthesis",-0.955,-0.832,0.821,0.9
"hsa04217_Necroptosis",-1.75,-2.83,0.901,0.909
"hsa05310_Asthma",-1.73,-2.11,0.876,0.911
"hsa04972_Pancreatic_secretion",-0.939,-2.63,0.889,0.916
"hsa00513_Various_types_of_N-glycan_biosynthesis",-1.31,-1.22,0.838,0.922
"hsa05162_Measles",-1.59,-4.04,0.921,0.933
"hsa04613_Neutrophil_extracellular_trap_formation",-1.74,-3.61,0.874,0.934
"hsa04975_Fat_digestion_and_absorption",-0.943,-0.976,0.899,0.937
"hsa05031_Amphetamine_addiction",-1.95,-3.87,0.957,0.94
"hsa05203_Viral_carcinogenesis",-2.39,-4.12,0.945,0.941
"hsa04658_Th1_and_Th2_cell_differentiation",-2.55,-3.94,0.943,0.943
"hsa04744_Phototransduction",-1.57,-2.17,0.919,0.946
"hsa04630_JAK-STAT_signaling_pathway",-1.1,-2.74,0.9,0.954
"hsa03018_RNA_degradation",-2.17,-2.01,0.901,0.957
"hsa04672_Intestinal_immune_network_for_IgA_production",-1.79,-2.47,0.917,0.964
"hsa04925_Aldosterone_synthesis_and_secretion",-1.65,-4.28,0.959,0.965
"hsa05322_Systemic_lupus_erythematosus",-2.38,-2.65,0.932,0.966
"hsa05030_Cocaine_addiction",-2.05,-3.2,0.97,0.97
"hsa04622_RIG-I-like_receptor_signaling_pathway",-2.38,-3.73,0.956,0.97
"hsa05032_Morphine_addiction",-1.86,-3.32,0.949,0.97
"hsa04080_Neuroactive_ligand-receptor_interaction",-2.04,-1.9,0.951,0.972
"hsa00240_Pyrimidine_metabolism",-1.72,-1.61,0.942,0.972
"hsa05330_Allograft_rejection",-2.71,-3.29,0.95,0.973
"hsa04940_Type_I_diabetes_mellitus",-2.18,-3.01,0.931,0.974
"hsa00515_Mannose_type_O-glycan_biosynthesis",-1.83,-1.75,0.949,0.976
"hsa04913_Ovarian_steroidogenesis",-1.27,-2.76,0.954,0.98
"hsa04740_Olfactory_transduction",-3.28,-3.79,0.969,0.982
"hsa05340_Primary_immunodeficiency",-2.31,-2.4,0.956,0.982
"hsa04927_Cortisol_synthesis_and_secretion",-1.67,-3.98,0.951,0.982
"hsa05320_Autoimmune_thyroid_disease",-2.69,-3.36,0.965,0.984
"hsa00591_Linoleic_acid_metabolism",-2.02,-2.17,0.96,0.984
"hsa04742_Taste_transduction",-1.81,-2.66,0.968,0.985
"hsa05168_Herpes_simplex_virus_1_infection",-3.9,-4.88,0.975,0.989
"hsa00601_Glycosphingolipid_biosynthesis",-2.09,-2,0.966,0.989
"hsa05034_Alcoholism",-3.51,-5.06,0.993,0.995
"hsa04726_Serotonergic_synapse",-2.4,-4.16,0.99,0.995
"hsa03010_Ribosome",-6.47,-6.28,0.989,0.997
